location_name,year,month,mean_daily_volume,total_volume,days_with_data
"Bloor St E, west of Castle Frank Rd",2025,3,1982.642857142857,27757,14
"Bloor St E, west of Castle Frank Rd",2025,4,2552.266666666667,76568,30
"Bloor St E, west of Castle Frank Rd",2025,5,3140.7741935483873,97364,31
"Bloor St E, west of Castle Frank Rd",2025,6,3841.4666666666667,115244,30
"Bloor St E, west of Castle Frank Rd",2025,7,3900.032258064516,120901,31
"Bloor St E, west of Castle Frank Rd",2025,8,3547.3225806451615,109967,31
"Bloor St E, west of Castle Frank Rd",2025,9,3865.0333333333333,115951,30
"Bloor St E, west of Castle Frank Rd",2025,10,3139.0967741935483,97312,31
"Bloor St E, west of Castle Frank Rd",2025,11,2065.3333333333335,61960,30
"Bloor St E, west of Castle Frank Rd",2025,12,841.9677419354839,26101,31
"Bloor St E, west of Castle Frank Rd",2026,1,378.9032258064516,11746,31
"Bloor St E, west of Castle Frank Rd",2026,2,449.9642857142857,12599,28
"Bloor St E, west of Castle Frank Rd",2026,3,1197.7,35931,30
"Bloor St E, west of Castle Frank Rd",2026,4,2085.5333333333333,62566,30
"Bloor St W, east of Old Mill Trl",2024,7,721.0,721,1
"Bloor St W, east of Old Mill Trl",2024,8,658.3225806451613,20408,31
"Bloor St W, east of Old Mill Trl",2024,9,668.8333333333334,20065,30
"Bloor St W, east of Old Mill Trl",2024,10,549.6774193548387,17040,31
"Bloor St W, east of Old Mill Trl",2024,11,352.7,10581,30
"Bloor St W, east of Old Mill Trl",2024,12,113.61290322580645,3522,31
"Bloor St W, east of Old Mill Trl",2025,1,59.54838709677419,1846,31
"Bloor St W, east of Old Mill Trl",2025,2,39.785714285714285,1114,28
"Bloor St W, east of Old Mill Trl",2025,3,160.7,4821,30
"Bloor St W, east of Old Mill Trl",2025,4,344.6333333333333,10339,30
"Bloor St W, east of Old Mill Trl",2025,5,527.1290322580645,16341,31
"Bloor St W, east of Old Mill Trl",2025,6,682.4333333333333,20473,30
"Bloor St W, east of Old Mill Trl",2025,7,724.0645161290323,22446,31
"Bloor St W, east of Old Mill Trl",2025,8,647.1612903225806,20062,31
"Bloor St W, east of Old Mill Trl",2025,9,667.5666666666667,20027,30
"Bloor St W, east of Old Mill Trl",2025,10,460.4193548387097,14273,31
"Bloor St W, east of Old Mill Trl",2025,11,223.96666666666667,6719,30
"Bloor St W, east of Old Mill Trl",2025,12,59.5,238,4
"Bloor St W, east of Old Mill Trl",2026,1,34.483870967741936,1069,31
"Bloor St W, east of Old Mill Trl",2026,2,0.03571428571428571,1,28
"Bloor St W, east of Old Mill Trl",2026,3,0.0,0,30
"Bloor St W, east of Old Mill Trl",2026,4,238.8,7164,30
"Bloor St W, east of Palmerston Blvd",2023,3,1619.0,1619,1
"Bloor St W, east of Palmerston Blvd",2023,4,3519.0,105570,30
"Bloor St W, east of Palmerston Blvd",2023,5,5131.258064516129,159069,31
"Bloor St W, east of Palmerston Blvd",2023,6,4870.466666666666,146114,30
