year,month,ASTRO,EFIT,EFIT G5,ICONIC,iconic_trips,efit_trips,efit_g5_trips,astro_trips,ebike_trips,total_trips,ebike_share,is_partial_year,member_ebike_share,casual_ebike_share
2024,1,0.0,2854.0,6634.0,195391.0,195391.0,2854.0,6634.0,0.0,9488.0,204879.0,0.04631026117854929,False,0.04555624415709919,0.05622711887822063
2024,2,0.0,3336.0,8025.0,250413.0,250413.0,3336.0,8025.0,0.0,11361.0,261774.0,0.04340003208874831,False,0.042506917240829147,0.052413033346044656
2024,3,0.0,4578.0,8054.0,299981.0,299981.0,4578.0,8054.0,0.0,12632.0,312613.0,0.040407788543662615,False,0.03967694745388668,0.04659400544959128
2024,4,0.0,20535.0,45384.0,337869.0,337869.0,20535.0,45384.0,0.0,65919.0,403788.0,0.16325150821718326,False,0.1577972127335046,0.1951674754810466
2024,5,0.0,42777.0,86248.0,557367.0,557367.0,42777.0,86248.0,0.0,129025.0,686392.0,0.18797567570717608,False,0.18112660371226966,0.21047374696456106
2024,6,0.0,45916.0,87426.0,633526.0,633526.0,45916.0,87426.0,0.0,133342.0,766868.0,0.17387868577121487,False,0.1619971496205018,0.20905836961742877
2024,7,0.0,48951.0,96547.0,760874.0,760874.0,48951.0,96547.0,0.0,145498.0,906372.0,0.1605279068638484,False,0.14450027760622336,0.19928274051950404
2024,8,0.0,52827.0,101968.0,752359.0,752359.0,52827.0,101968.0,0.0,154795.0,907154.0,0.17063806145373334,False,0.15195335313684097,0.21428912924354482
2024,9,0.0,51666.0,97946.0,752026.0,752026.0,51666.0,97946.0,0.0,149612.0,901638.0,0.16593355648275693,False,0.14647082823337412,0.21607310717387943
2024,10,0.0,51464.0,95866.0,646691.0,646691.0,51464.0,95866.0,0.0,147330.0,794021.0,0.1855492486974526,False,0.16348689338582834,0.2551833880330606
2024,11,0.0,36721.0,68601.0,450326.0,450326.0,36721.0,68601.0,0.0,105322.0,555648.0,0.18954805920294862,False,0.17079182655868932,0.2802870320757294
2024,12,0.0,6359.0,3254.0,242334.0,242334.0,6359.0,3254.0,0.0,9613.0,251947.0,0.03815485002798208,False,0.03561016057561141,0.058815013210756814
2025,1,0.0,6311.0,3605.0,193030.0,193030.0,6311.0,3605.0,0.0,9916.0,202946.0,0.04886028795837316,False,0.0461749743502052,0.08064516129032258
2025,2,0.0,3333.0,1889.0,120448.0,120448.0,3333.0,1889.0,0.0,5222.0,125670.0,0.04155327444895361,False,0.03944010517361379,0.06802281778064793
2025,3,0.0,14656.0,10488.0,287034.0,287034.0,14656.0,10488.0,0.0,25144.0,312178.0,0.08054379232361025,False,0.07534515318751031,0.11645935196210068
2025,4,0.0,50912.0,55680.0,364933.0,364933.0,50912.0,55680.0,0.0,106592.0,471525.0,0.2260580032872064,False,0.20747589276253048,0.3006433090541762
2025,5,0.0,95305.0,78047.0,526109.0,526109.0,95305.0,78047.0,0.0,173352.0,699461.0,0.24783654842800384,False,0.22519496405548683,0.30956846030900376
2025,6,0.0,128845.0,94315.0,757464.0,757464.0,128845.0,94315.0,0.0,223160.0,980624.0,0.227569384391979,False,0.21120365646386857,0.2616510439259916
2025,7,0.0,137603.0,101123.0,953336.0,953336.0,137603.0,101123.0,0.0,238726.0,1192062.0,0.2002630735649656,False,0.18956686295285055,0.22090930990575547
2025,8,0.0,125875.0,93401.0,945421.0,945421.0,125875.0,93401.0,0.0,219276.0,1164697.0,0.18826870851388816,False,0.1795259231277741,0.20418864652512364
2025,9,0.0,149705.0,51200.0,861096.0,861096.0,149705.0,51200.0,0.0,200905.0,1062001.0,0.1891759047307865,False,0.1752718652586941,0.22160271092843023
2025,10,0.0,187081.0,0.0,685401.0,685401.0,187081.0,0.0,0.0,187081.0,872482.0,0.21442390788577873,False,0.19690718938476365,0.264526690706369
2025,11,0.0,116232.0,0.0,395702.0,395702.0,116232.0,0.0,0.0,116232.0,511934.0,0.22704489250567456,False,0.20603675161888893,0.3263067254143276
2025,12,0.0,8156.0,0.0,208784.0,208784.0,8156.0,0.0,0.0,8156.0,216940.0,0.037595648566423896,False,0.034785435630689206,0.06111782999308915
2026,1,0.0,4681.0,0.0,132655.0,132655.0,4681.0,0.0,0.0,4681.0,137336.0,0.034084289625444165,True,0.03225883724458427,0.05297958508967683
2026,2,0.0,5755.0,0.0,107155.0,107155.0,5755.0,0.0,0.0,5755.0,112910.0,0.05096979895491985,True,0.04877295282964222,0.07536449399656947
2026,3,183.0,19615.0,0.0,282029.0,282029.0,19615.0,0.0,183.0,19798.0,301827.0,0.06559386668522034,True,0.06024022832374353,0.10089827139370455
