x,y,lag,ccf,p_value
Daily trips,311 complaints,0,-0.3094330876736809,1.492691664406845e-11
Daily trips,311 complaints,1,-0.378191846467173,6.937452028518226e-17
Daily trips,311 complaints,2,-0.45241591389582186,3.0732932001483937e-24
Daily trips,311 complaints,3,-0.4680152253526145,5.535644386665481e-26
Daily trips,311 complaints,4,-0.4949648542987744,3.0091038484616254e-29
Daily trips,311 complaints,5,-0.5030343546719985,3.0888640576304872e-30
Daily trips,311 complaints,6,-0.47796699542709375,5.2420436456071515e-27
Daily trips,311 complaints,7,-0.4394317783553122,1.4155944446068082e-22
Daily trips,311 complaints,8,-0.3743515685405861,2.5629558540844555e-16
Daily trips,311 complaints,9,-0.3539504974240751,1.3101904217344289e-14
Daily trips,311 complaints,10,-0.3320464768940181,6.487556391690322e-13
Daily trips,311 complaints,11,-0.2897918078560203,4.87396132400098e-10
Daily trips,311 complaints,12,-0.26626871945699615,1.258956672825688e-08
Daily trips,311 complaints,13,-0.23496862365894383,5.85134553351504e-07
Daily trips,311 complaints,14,-0.18889051910095633,6.567593649069366e-05
Daily trips,311 complaints,15,-0.19002586468355637,6.0389149808143715e-05
Daily trips,311 complaints,16,-0.21068051340001417,8.518320122461807e-06
Daily trips,311 complaints,17,-0.1693934981571929,0.00036975763998899265
Daily trips,311 complaints,18,-0.15917549252501367,0.0008399739393391908
Daily trips,311 complaints,19,-0.08625571780104159,0.07197813338474544
Daily trips,311 complaints,20,0.021543111817261464,0.6540980779240427
Daily trips,311 complaints,21,0.07572597072998387,0.11519027488820507
Daily trips,311 complaints,22,0.12812499910050634,0.007598418400990429
Daily trips,311 complaints,23,0.13590514483616745,0.004659298735783469
Daily trips,311 complaints,24,0.09760791829238875,0.04283178544660442
Daily trips,311 complaints,25,0.05529498080423821,0.25255770880862527
Daily trips,311 complaints,26,0.024947160951860673,0.6063531344948282
Daily trips,311 complaints,27,-0.0054864401018189955,0.9098931913487864
Daily trips,311 complaints,28,-0.00010325127522585799,0.9983026392424783
Daily trips,311 complaints,29,-0.007195892065816711,0.8822740584000142
Daily trips,311 complaints,30,-0.054248659370794414,0.26446799978470203
Daily trips,Mean temp (°C),0,0.627568308831146,3.39023125026671e-51
Daily trips,Mean temp (°C),1,0.5659758920749975,8.296274762405539e-40
Daily trips,Mean temp (°C),2,0.4141238720426136,3.3736148243956895e-20
Daily trips,Mean temp (°C),3,0.2978923203294247,1.0261415600199045e-10
Daily trips,Mean temp (°C),4,0.2016281942964487,1.600107689107059e-05
Daily trips,Mean temp (°C),5,0.1641580182367658,0.0004716179795592112
Daily trips,Mean temp (°C),6,0.08965276427534563,0.05766493106894797
Daily trips,Mean temp (°C),7,0.06544791659380343,0.16670038613444715
Daily trips,Mean temp (°C),8,0.08341679780859881,0.07810942692149045
Daily trips,Mean temp (°C),9,0.017320598573792204,0.7152684808935967
Daily trips,Mean temp (°C),10,-0.0432187493018287,0.36305392271393455
Daily trips,Mean temp (°C),11,-0.09280083919523628,0.05068449904017202
Daily trips,Mean temp (°C),12,-0.08812863937327621,0.06384512287510506
Daily trips,Mean temp (°C),13,0.004088184854756169,0.9317000235503473
Daily trips,Mean temp (°C),14,0.013405115573924641,0.7789243430136753
Daily trips,Mean temp (°C),15,-0.09737205267867809,0.04119750410536825
Daily trips,Mean temp (°C),16,-0.11718295353840422,0.014021004724143636
Daily trips,Mean temp (°C),17,-0.11257341970366898,0.018435631718083642
Daily trips,Mean temp (°C),18,-0.11865021856708115,0.013064806563241991
Daily trips,Mean temp (°C),19,-0.0807097472869793,0.0923406715368168
Daily trips,Mean temp (°C),20,-0.024504763492605438,0.6102663335912564
Daily trips,Mean temp (°C),21,0.01791874842501552,0.7097077532806344
Daily trips,Mean temp (°C),22,0.006003561744796068,0.9008671237775843
Daily trips,Mean temp (°C),23,-0.002383229538432847,0.9606076639547301
Daily trips,Mean temp (°C),24,-0.043848972926705095,0.36381403839075516
Daily trips,Mean temp (°C),25,-0.09960916835935793,0.03895476070319061
Daily trips,Mean temp (°C),26,-0.12329458908481038,0.010587560018273436
Daily trips,Mean temp (°C),27,-0.0890292276919175,0.06575062535362798
Daily trips,Mean temp (°C),28,-0.05757939104389785,0.2351027000138017
Daily trips,Mean temp (°C),29,-0.06359532581748144,0.1901747137335537
Daily trips,Mean temp (°C),30,-0.06828382280033639,0.1599613094590833
Daily trips,Snowfall (cm),0,-0.24793609413571732,8.41508277282278e-08
Daily trips,Snowfall (cm),1,-0.016345730188787638,0.728331365151015
Daily trips,Snowfall (cm),2,-0.02306984595940896,0.6243302967715151
Daily trips,Snowfall (cm),3,0.045749649111559446,0.3318143604851459
Daily trips,Snowfall (cm),4,0.04468357913711954,0.3437539646199828
Daily trips,Snowfall (cm),5,0.10732623532235157,0.022787337040275142
Daily trips,Snowfall (cm),6,0.10230479794253884,0.030200807983363318
Daily trips,Snowfall (cm),7,0.08720265438453549,0.06517002962146023
Daily trips,Snowfall (cm),8,0.06084306234220157,0.19915779939350847
Daily trips,Snowfall (cm),9,0.06255385376449736,0.18728909209549688
Daily trips,Snowfall (cm),10,-0.07813149151574914,0.09974997271459603
Daily trips,Snowfall (cm),11,0.11523361909835252,0.01512483786565025
Daily trips,Snowfall (cm),12,0.18405708249993966,9.765495676891264e-05
Daily trips,Snowfall (cm),13,0.2073371617970163,1.1102060882690297e-05
Daily trips,Snowfall (cm),14,0.11659854846094501,0.014286338864263287
Daily trips,Snowfall (cm),15,0.07374436973905875,0.12244828695903176
Daily trips,Snowfall (cm),16,0.1745080444395336,0.0002386376714492699
Daily trips,Snowfall (cm),17,0.16940591767047342,0.0003693847446040473
Daily trips,Snowfall (cm),18,0.09005747143164795,0.05996619381967774
Daily trips,Snowfall (cm),19,0.02342452653159831,0.6257047818906069
Daily trips,Snowfall (cm),20,0.06750200930555093,0.15989687749167253
Daily trips,Snowfall (cm),21,0.029539900385306874,0.5393778693142762
Daily trips,Snowfall (cm),22,0.008097246349825844,0.8665766095677053
Daily trips,Snowfall (cm),23,0.03650079321617892,0.44922432997147005
Daily trips,Snowfall (cm),24,0.036164984260709736,0.45393606506437684
Daily trips,Snowfall (cm),25,0.01297361919924286,0.7885031330390972
Daily trips,Snowfall (cm),26,0.0322091759297126,0.5058248667131912
Daily trips,Snowfall (cm),27,0.038709742408812295,0.42441174280683747
Daily trips,Snowfall (cm),28,0.052123052640610144,0.28253460002814806
Daily trips,Snowfall (cm),29,0.05714175628155217,0.2392398075890759
Daily trips,Snowfall (cm),30,0.0038878175997296032,0.9363059240028598
311 complaints,Mean temp (°C),0,-0.23840969411070564,2.6631279749281514e-07
311 complaints,Mean temp (°C),1,-0.22229406805234547,1.7235290327665658e-06
311 complaints,Mean temp (°C),2,-0.20225730762141253,1.439015194281771e-05
311 complaints,Mean temp (°C),3,-0.19965306024444776,1.90233989775532e-05
311 complaints,Mean temp (°C),4,-0.19367096819713414,3.460974476598376e-05
311 complaints,Mean temp (°C),5,-0.1261376960815583,0.007383122938051529
311 complaints,Mean temp (°C),6,-0.12935019171209988,0.006055131731591261
311 complaints,Mean temp (°C),7,-0.08917037503892934,0.05931295749577657
311 complaints,Mean temp (°C),8,-0.025688154398631986,0.5880408596541586
311 complaints,Mean temp (°C),9,-0.013688538366903187,0.7731274037577573
311 complaints,Mean temp (°C),10,0.01840098600141086,0.6986746061707245
311 complaints,Mean temp (°C),11,0.03708542749963417,0.4356830163791222
311 complaints,Mean temp (°C),12,0.08718618656124187,0.0667483464730561
311 complaints,Mean temp (°C),13,0.12108273972173555,0.010840751390586682
311 complaints,Mean temp (°C),14,0.19286193896664855,4.5631471970169135e-05
311 complaints,Mean temp (°C),15,0.2079323228805126,1.0956953796572975e-05
311 complaints,Mean temp (°C),16,0.19541894376081118,3.7458383644514275e-05
311 complaints,Mean temp (°C),17,0.20535169679494888,1.479888629473179e-05
311 complaints,Mean temp (°C),18,0.17486251491905538,0.00023944653413973457
311 complaints,Mean temp (°C),19,0.12477947182599848,0.009102162819451136
311 complaints,Mean temp (°C),20,0.0744484051732306,0.12103857930620471
311 complaints,Mean temp (°C),21,-0.011184681478392852,0.8162723816824784
311 complaints,Mean temp (°C),22,-0.03635316746620192,0.4505351448283509
311 complaints,Mean temp (°C),23,-0.03548508500721367,0.461950783436299
311 complaints,Mean temp (°C),24,-0.04114238429776294,0.3942038891930734
311 complaints,Mean temp (°C),25,-0.007558813248333091,0.8758053354349108
311 complaints,Mean temp (°C),26,0.0025806260855637296,0.9574969610990522
311 complaints,Mean temp (°C),27,0.003832554529818882,0.9369873520536661
311 complaints,Mean temp (°C),28,0.01910371942059181,0.6938486227314123
311 complaints,Mean temp (°C),29,0.02470787080548876,0.6110719250257055
311 complaints,Mean temp (°C),30,0.04284902260148817,0.3782321132858203
311 complaints,Snowfall (cm),0,-0.04834081824384424,0.3035219173870805
311 complaints,Snowfall (cm),1,-0.03988735258376924,0.3965018475845579
311 complaints,Snowfall (cm),2,-0.05099390592792931,0.27878623668162406
311 complaints,Snowfall (cm),3,-0.03853479807815724,0.4137592376634759
311 complaints,Snowfall (cm),4,-0.08300002745015171,0.0782723802641287
311 complaints,Snowfall (cm),5,-0.11422582906529025,0.015338103779734283
311 complaints,Snowfall (cm),6,-0.09578426859454205,0.04249487185737683
311 complaints,Snowfall (cm),7,-0.13304454415779565,0.004791831631431289
311 complaints,Snowfall (cm),8,-0.13621784511326998,0.003909599716336677
311 complaints,Snowfall (cm),9,-0.19327223565288382,3.973547844935088e-05
311 complaints,Snowfall (cm),10,-0.29548113814908283,2.0417472234488782e-10
311 complaints,Snowfall (cm),11,-0.28044697460593415,1.8119092313939613e-09
311 complaints,Snowfall (cm),12,-0.2409237713121373,2.8618742848834423e-07
311 complaints,Snowfall (cm),13,-0.21400273451774465,5.6494675825600465e-06
311 complaints,Snowfall (cm),14,-0.19241388375509158,4.7562768278345615e-05
311 complaints,Snowfall (cm),15,-0.1259436330033327,0.008172958464005585
311 complaints,Snowfall (cm),16,-0.11552636224376332,0.01544561266061049
311 complaints,Snowfall (cm),17,-0.08300002745015171,0.08272435890485777
311 complaints,Snowfall (cm),18,-0.01654278203017752,0.7302053069535525
311 complaints,Snowfall (cm),19,-0.006879820514122561,0.8860973499213155
311 complaints,Snowfall (cm),20,0.0007152932481601899,0.9881313471641802
311 complaints,Snowfall (cm),21,-0.0038235675447108475,0.9366940495417145
311 complaints,Snowfall (cm),22,-0.016438739375899684,0.7330266078109944
311 complaints,Snowfall (cm),23,-0.016685840679809563,0.7294720356296234
311 complaints,Snowfall (cm),24,-0.05247651375138861,0.2770253254323015
311 complaints,Snowfall (cm),25,-0.05799077442811444,0.2301269139529783
311 complaints,Snowfall (cm),26,-0.02318850657217494,0.6319736706018942
311 complaints,Snowfall (cm),27,-0.04834081824384422,0.318404825826567
311 complaints,Snowfall (cm),28,-0.03044548170805471,0.5303799962410932
311 complaints,Snowfall (cm),29,0.003953620862558153,0.9351537764435536
311 complaints,Snowfall (cm),30,0.017518181914032333,0.7187644472564101
Mean temp (°C),Snowfall (cm),0,-0.0730879748244757,0.11951464330257185
Mean temp (°C),Snowfall (cm),1,-0.07119133142384056,0.1298651478273921
Mean temp (°C),Snowfall (cm),2,-0.10068139836704952,0.03216064350543348
Mean temp (°C),Snowfall (cm),3,0.1198668673068077,0.01075530940560281
Mean temp (°C),Snowfall (cm),4,0.17533248612538205,0.00018242464149669977
Mean temp (°C),Snowfall (cm),5,0.12852372524304,0.006330586080070907
Mean temp (°C),Snowfall (cm),6,0.1628275826545277,0.0005326420051238402
Mean temp (°C),Snowfall (cm),7,0.08837063949626023,0.06163867601823355
Mean temp (°C),Snowfall (cm),8,0.14107343131390934,0.0027967355433720707
Mean temp (°C),Snowfall (cm),9,0.14038645811367928,0.0029664991849532754
Mean temp (°C),Snowfall (cm),10,0.049934986750055574,0.2932251786746288
Mean temp (°C),Snowfall (cm),11,0.09693291416579423,0.04119567195217313
Mean temp (°C),Snowfall (cm),12,0.15469839978513875,0.0010888181573389113
Mean temp (°C),Snowfall (cm),13,0.1186571971064026,0.012546613420904794
Mean temp (°C),Snowfall (cm),14,0.03927196794648474,0.4106854051662628
Mean temp (°C),Snowfall (cm),15,0.18048478512710744,0.00014099552365792972
Mean temp (°C),Snowfall (cm),16,0.303960750768457,7.765547838554094e-11
Mean temp (°C),Snowfall (cm),17,0.21659568073920024,4.774202331659303e-06
Mean temp (°C),Snowfall (cm),18,0.1346417691784222,0.004811174186405615
Mean temp (°C),Snowfall (cm),19,0.111025820903847,0.020405611307168434
Mean temp (°C),Snowfall (cm),20,0.09127783043056713,0.05713914014407846
Mean temp (°C),Snowfall (cm),21,0.05836285361954458,0.22498386958989564
Mean temp (°C),Snowfall (cm),22,-0.020215928740103258,0.6748558041140784
Mean temp (°C),Snowfall (cm),23,-0.006745280335592199,0.8888232260240093
Mean temp (°C),Snowfall (cm),24,-0.08159051269398972,0.0906907024954722
Mean temp (°C),Snowfall (cm),25,-0.031954209944034175,0.5087042898027001
Mean temp (°C),Snowfall (cm),26,-0.019359701273149833,0.6892656951116654
Mean temp (°C),Snowfall (cm),27,0.08192404316076807,0.09050352840665894
Mean temp (°C),Snowfall (cm),28,0.07228152802420564,0.13590986419005227
Mean temp (°C),Snowfall (cm),29,0.01213154847072928,0.8028457975477111
Mean temp (°C),Snowfall (cm),30,-0.06643727775558184,0.17158876688495747
