day_of_week,hour,avg_trips
Friday,0,261.0
Friday,1,145.69230769230768
Friday,2,97.90384615384616
Friday,3,48.53846153846154
Friday,4,44.26923076923077
Friday,5,113.71153846153847
Friday,6,309.71153846153845
Friday,7,651.1153846153846
Friday,8,1207.8076923076924
Friday,9,891.6923076923077
Friday,10,721.2307692307693
Friday,11,822.1346153846154
Friday,12,987.6730769230769
Friday,13,1052.6538461538462
Friday,14,1081.5576923076924
Friday,15,1246.0961538461538
Friday,16,1600.0192307692307
Friday,17,1906.5192307692307
Friday,18,1671.1923076923076
Friday,19,1307.4423076923076
Friday,20,948.6923076923077
Friday,21,749.3846153846154
Friday,22,638.5961538461538
Friday,23,569.3653846153846
Monday,0,204.1153846153846
Monday,1,113.59615384615384
Monday,2,84.61538461538461
Monday,3,48.23076923076923
Monday,4,47.86538461538461
Monday,5,116.8076923076923
Monday,6,310.8076923076923
Monday,7,663.6923076923077
Monday,8,1336.1538461538462
Monday,9,817.4230769230769
Monday,10,627.9615384615385
Monday,11,712.1346153846154
Monday,12,851.75
Monday,13,889.8846153846154
Monday,14,953.2115384615385
Monday,15,1127.2692307692307
Monday,16,1506.673076923077
Monday,17,2118.596153846154
Monday,18,1755.076923076923
Monday,19,1327.076923076923
Monday,20,994.5769230769231
Monday,21,738.9423076923077
Monday,22,527.2692307692307
Monday,23,352.1923076923077
Saturday,0,399.5192307692308
Saturday,1,289.96153846153845
Saturday,2,241.82692307692307
Saturday,3,116.25
Saturday,4,62.73076923076923
Saturday,5,62.25
Saturday,6,133.44230769230768
Saturday,7,257.9230769230769
Saturday,8,456.4423076923077
Saturday,9,717.3461538461538
Saturday,10,912.9230769230769
Saturday,11,1110.7307692307693
Saturday,12,1240.7884615384614
Saturday,13,1302.4038461538462
Saturday,14,1365.8653846153845
Saturday,15,1419.0576923076924
Saturday,16,1428.5384615384614
Saturday,17,1411.0384615384614
Saturday,18,1365.1923076923076
Saturday,19,1135.75
Saturday,20,871.9423076923077
Saturday,21,713.8846153846154
Saturday,22,625.25
Saturday,23,551.8269230769231
Sunday,0,412.4807692307692
Sunday,1,325.8076923076923
Sunday,2,275.71153846153845
Sunday,3,145.48076923076923
Sunday,4,75.96153846153847
Sunday,5,64.71153846153847
Sunday,6,132.17307692307693
Sunday,7,237.55769230769232
Sunday,8,378.21153846153845
Sunday,9,631.5576923076923
Sunday,10,867.6730769230769
Sunday,11,1027.0576923076924
Sunday,12,1147.8846153846155
Sunday,13,1252.4038461538462
Sunday,14,1299.7115384615386
Sunday,15,1338.7115384615386
Sunday,16,1351.8653846153845
Sunday,17,1312.8076923076924
Sunday,18,1227.5576923076924
Sunday,19,1035.6923076923076
Sunday,20,791.5769230769231
Sunday,21,601.8269230769231
Sunday,22,477.0
Sunday,23,350.28846153846155
Thursday,0,198.32692307692307
Thursday,1,98.26923076923077
Thursday,2,67.82692307692308
Thursday,3,36.15384615384615
Thursday,4,39.28846153846154
Thursday,5,124.71153846153847
Thursday,6,368.3269230769231
Thursday,7,834.4038461538462
Thursday,8,1835.0192307692307
Thursday,9,1095.3846153846155
Thursday,10,717.3653846153846
Thursday,11,775.4038461538462
Thursday,12,919.8076923076923
Thursday,13,913.5576923076923
Thursday,14,954.3269230769231
Thursday,15,1159.826923076923
Thursday,16,1719.1923076923076
Thursday,17,2441.826923076923
Thursday,18,1996.673076923077
Thursday,19,1505.5576923076924
Thursday,20,1110.0576923076924
Thursday,21,850.2307692307693
Thursday,22,643.5
Thursday,23,487.2307692307692
Tuesday,0,174.1153846153846
Tuesday,1,88.48076923076923
Tuesday,2,58.44230769230769
Tuesday,3,35.07692307692308
Tuesday,4,42.32692307692308
Tuesday,5,137.78846153846155
Tuesday,6,391.09615384615387
Tuesday,7,879.0769230769231
Tuesday,8,1866.4615384615386
Tuesday,9,1034.576923076923
Tuesday,10,633.6153846153846
Tuesday,11,684.5384615384615
Tuesday,12,823.2884615384615
Tuesday,13,814.9038461538462
Tuesday,14,874.6923076923077
Tuesday,15,1095.8461538461538
Tuesday,16,1658.6153846153845
Tuesday,17,2481.076923076923
Tuesday,18,2004.2115384615386
Tuesday,19,1441.673076923077
Tuesday,20,1073.5576923076924
Tuesday,21,827.8461538461538
Tuesday,22,599.75
Tuesday,23,408.09615384615387
Wednesday,0,192.15384615384616
Wednesday,1,93.25
Wednesday,2,61.63461538461539
Wednesday,3,34.09615384615385
Wednesday,4,40.65384615384615
Wednesday,5,127.90384615384616
Wednesday,6,375.09615384615387
Wednesday,7,856.1153846153846
Wednesday,8,1830.673076923077
Wednesday,9,1086.076923076923
Wednesday,10,695.0
Wednesday,11,742.9230769230769
Wednesday,12,865.1346153846154
Wednesday,13,852.4038461538462
Wednesday,14,873.1730769230769
Wednesday,15,1093.3846153846155
Wednesday,16,1667.923076923077
Wednesday,17,2537.846153846154
Wednesday,18,2024.8846153846155
Wednesday,19,1471.3846153846155
Wednesday,20,1060.423076923077
Wednesday,21,815.7692307692307
Wednesday,22,619.8653846153846
Wednesday,23,419.63461538461536
