station_name,departures,arrivals,net_flow
1 Market St,9062,9303,-241
101 Cedarvale Ave,3426,1192,2234
11 Spadina Rd,10426,7338,3088
111 Bond St (North of Dundas St E)  - SMART,7062,7146,-84
111 Broadview Ave,10037,9574,463
12 Harbour St,13600,13895,-295
128 Sterling Rd - SMART,5382,5273,109
1303 Yonge St - SMART,4501,4554,-53
135 Queens Wharf Rd - SMART,4882,4981,-99
14 Arundel Ave,7100,6611,489
144 Harrison St,3662,3811,-149
15 Price St,4722,2761,1961
1525 Dundas St W,9502,9767,-265
16 Riverview Gardens,2,1,1
161 Bleecker St (South of Wellesley),6107,3952,2155
1612 Danforth Ave,3687,1952,1735
165 McRae Dr,712,716,-4
19 Glendora Ave,1170,1039,131
190 Queens Quay E,10581,10940,-359
1926 Lake Shore Blvd W,3185,3296,-111
2 Church St,1,8,-7
20 Charles St E,17334,10952,6382
20 Eaton Ave,13,10,3
200 Bloor St E,6118,4427,1691
2201 Dundas St W,3877,3906,-29
2300 Lakeshore Blvd W,632,665,-33
24 Mountjoy Ave,1583,1178,405
25 Booth Ave,5309,6606,-1297
25 York St _ Union Station South,7235,7241,-6
265 Armadale Ave,5531,2853,2678
2700 Eglinton Ave W,688,322,366
285 Victoria St,10962,13679,-2717
3220 Bloor St W,3,5,-2
35 Erindale Ave,5471,1455,4016
36 Park Lawn Rd,3679,3824,-145
365 Lippincott St,15372,7431,7941
406 Oakwood Ave,1197,1203,-6
420 Wellington St W,23612,24261,-649
439 Sherbourne St,14726,9697,5029
457 King St W,11651,11815,-164
50 Overlea Blvd,968,1118,-150
51 Parliament St,4865,5225,-360
519 Church St,3075,3134,-59
541 Huron St - SMART,12385,10967,1418
552 Birchmount Rd,243,214,29
60 Broadway Ave,1233,1106,127
60 Carl Hall Rd - SMART,578,579,-1
697 Lansdowne Ave,8838,5750,3088
75 Holly St,4584,2115,2469
75 Tandridge Cres,125,110,15
75 Thorncliffe Park Dr,617,646,-29
80 Clinton St,15339,15691,-352
800 Fleet St (North),10882,8057,2825
800 Fleet St (South),8983,7000,1983
85 Lee Ave,4785,5381,-596
91 Via Italia,5842,3578,2264
