date,year,actual_trips
2017-01-01,2017,487
2017-01-02,2017,1632
2017-01-03,2017,2013
2017-01-04,2017,1442
2017-01-05,2017,1411
2017-01-06,2017,5101
2017-02-01,2017,775
2017-02-02,2017,1799
2017-02-03,2017,1844
2017-02-04,2017,2257
2017-02-05,2017,2606
2017-02-06,2017,5196
2017-03-01,2017,918
2017-03-02,2017,1599
2017-03-03,2017,1628
2017-03-04,2017,2398
2017-03-05,2017,3885
2017-03-06,2017,5040
2017-04-01,2017,1359
2017-04-02,2017,842
2017-04-03,2017,830
2017-04-04,2017,1195
2017-04-05,2017,2301
2017-04-06,2017,3241
2017-05-01,2017,1202
2017-05-02,2017,709
2017-05-03,2017,725
2017-05-04,2017,2852
2017-05-05,2017,658
2017-05-06,2017,4224
2017-06-01,2017,1189
2017-06-02,2017,1714
2017-06-03,2017,2055
2017-06-04,2017,1135
2017-06-05,2017,1558
2017-06-06,2017,3052
2017-07-01,2017,5813
2017-07-02,2017,7018
2017-07-03,2017,7961
2017-07-04,2017,8379
2017-07-05,2017,11633
2017-07-06,2017,12403
2017-07-07,2017,6121
2017-07-08,2017,6445
2017-07-09,2017,5075
2017-07-10,2017,6316
2017-07-11,2017,7152
2017-07-12,2017,9058
2017-07-13,2017,5332
2017-07-14,2017,6691
2017-07-15,2017,7424
2017-07-16,2017,5473
2017-07-17,2017,6451
2017-07-18,2017,7287
2017-07-19,2017,10963
2017-07-20,2017,6511
2017-07-21,2017,6958
2017-07-22,2017,4861
2017-07-23,2017,5268
2017-07-24,2017,6377
2017-07-25,2017,7233
2017-07-26,2017,10739
2017-07-27,2017,6285
2017-07-28,2017,7527
2017-07-29,2017,7478
2017-07-30,2017,6495
2017-07-31,2017,6991
2017-08-01,2017,7475
2017-08-02,2017,9121
2017-08-03,2017,9446
2017-08-04,2017,7103
2017-08-05,2017,8930
2017-08-06,2017,11934
2017-08-07,2017,4310
2017-08-08,2017,7522
2017-08-09,2017,7878
2017-08-10,2017,8174
2017-08-11,2017,7035
2017-08-12,2017,6441
2017-08-13,2017,7466
2017-08-14,2017,7650
2017-08-15,2017,7612
2017-08-16,2017,8358
2017-08-17,2017,5214
2017-08-18,2017,7656
2017-08-19,2017,7040
2017-08-20,2017,7844
2017-08-21,2017,8137
2017-08-22,2017,7160
2017-08-23,2017,8503
2017-08-24,2017,7737
2017-08-25,2017,8064
2017-08-26,2017,7823
2017-08-27,2017,6661
2017-08-28,2017,7243
2017-08-29,2017,8161
2017-08-30,2017,7886
2017-08-31,2017,7658
2017-09-01,2017,8098
2017-09-02,2017,8304
2017-09-03,2017,7967
2017-09-04,2017,9057
2017-09-05,2017,10306
2017-09-06,2017,13448
2017-09-07,2017,6619
2017-09-08,2017,7716
2017-09-09,2017,6784
2017-09-10,2017,6701
2017-09-11,2017,7795
2017-09-12,2017,8231
2017-09-13,2017,8440
2017-09-14,2017,8303
2017-09-15,2017,8668
2017-09-16,2017,7863
2017-09-17,2017,7711
2017-09-18,2017,7943
2017-09-19,2017,8296
2017-09-20,2017,8670
2017-09-21,2017,8744
2017-09-22,2017,8881
2017-09-23,2017,7959
2017-09-24,2017,6908
2017-09-25,2017,7890
2017-09-26,2017,8419
2017-09-27,2017,8298
2017-09-28,2017,7680
2017-09-29,2017,5933
2017-09-30,2017,5699
2017-10-01,2017,622
2017-10-02,2017,1206
2017-10-03,2017,1758
2017-10-04,2017,3236
2017-10-05,2017,3665
2017-10-06,2017,5126
2017-11-01,2017,1637
2017-11-02,2017,643
2017-11-03,2017,727
2017-11-04,2017,3657
2017-11-05,2017,3675
2017-11-06,2017,4839
2017-12-01,2017,1826
2017-12-02,2017,284
2017-12-03,2017,655
2017-12-04,2017,3075
2017-12-05,2017,3880
2017-12-06,2017,5241
2018-01-01,2018,246
2018-01-02,2018,957
2018-01-03,2018,1185
2018-01-04,2018,1172
2018-01-05,2018,785
2018-01-06,2018,398
2018-01-07,2018,528
2018-01-08,2018,1017
2018-01-09,2018,1899
2018-01-10,2018,1886
2018-01-11,2018,1784
2018-01-12,2018,748
2018-01-13,2018,515
2018-01-14,2018,661
2018-01-15,2018,1285
2018-01-16,2018,1443
2018-01-17,2018,1680
2018-01-18,2018,1855
2018-01-19,2018,2150
2018-01-20,2018,1551
2018-01-21,2018,1349
2018-01-22,2018,1401
2018-01-23,2018,2527
2018-01-24,2018,2258
2018-01-25,2018,2281
2018-01-26,2018,2667
2018-01-27,2018,1481
2018-01-28,2018,1657
2018-01-29,2018,1728
2018-01-30,2018,1238
2018-01-31,2018,1527
2018-02-01,2018,2181
2018-02-02,2018,1674
2018-02-03,2018,917
2018-02-04,2018,558
2018-02-05,2018,1448
2018-02-06,2018,1937
2018-02-07,2018,736
2018-02-08,2018,1333
2018-02-09,2018,932
2018-02-10,2018,335
2018-02-11,2018,369
2018-02-12,2018,1487
2018-02-13,2018,1766
2018-02-14,2018,2308
2018-02-15,2018,2423
2018-02-16,2018,2259
2018-02-17,2018,1054
2018-02-18,2018,1257
2018-02-19,2018,775
2018-02-20,2018,1926
2018-02-21,2018,2045
2018-02-22,2018,2636
2018-02-23,2018,2269
2018-02-24,2018,1870
2018-02-25,2018,2049
2018-02-26,2018,3371
2018-02-27,2018,3907
2018-02-28,2018,3909
2018-03-01,2018,3288
2018-03-02,2018,2456
2018-03-03,2018,2353
2018-03-04,2018,1780
2018-03-05,2018,3018
2018-03-06,2018,2941
2018-03-07,2018,3429
2018-03-08,2018,3193
2018-03-09,2018,3123
2018-03-10,2018,1988
2018-03-11,2018,1878
2018-03-12,2018,2866
2018-03-13,2018,2841
2018-03-14,2018,2905
2018-03-15,2018,3021
2018-03-16,2018,2580
2018-03-17,2018,2094
2018-03-18,2018,2083
2018-03-19,2018,2850
2018-03-20,2018,3282
2018-03-21,2018,3473
2018-03-22,2018,3411
2018-03-23,2018,3321
2018-03-24,2018,2314
2018-03-25,2018,1941
2018-03-26,2018,3561
2018-03-27,2018,2429
2018-03-28,2018,4015
2018-03-29,2018,2190
2018-03-30,2018,2318
2018-03-31,2018,2027
2018-04-01,2018,1810
2018-04-02,2018,3319
2018-04-03,2018,2739
2018-04-04,2018,2695
2018-04-05,2018,3352
2018-04-06,2018,2741
2018-04-07,2018,2111
2018-04-08,2018,1858
2018-04-09,2018,3615
2018-04-10,2018,3773
2018-04-11,2018,3276
2018-04-12,2018,3332
2018-04-13,2018,2801
2018-04-14,2018,413
2018-04-15,2018,107
2018-04-16,2018,541
2018-04-17,2018,2166
2018-04-18,2018,3205
2018-04-19,2018,3384
2018-04-20,2018,3956
2018-04-21,2018,4201
2018-04-22,2018,5002
2018-04-23,2018,5306
2018-04-24,2018,4375
2018-04-25,2018,1572
2018-04-26,2018,5612
2018-04-27,2018,5594
2018-04-28,2018,1983
2018-04-29,2018,3596
2018-04-30,2018,6348
2018-05-01,2018,7209
2018-05-02,2018,7382
2018-05-03,2018,4163
2018-05-04,2018,4486
2018-05-05,2018,6770
2018-05-06,2018,4457
2018-05-07,2018,6872
2018-05-08,2018,7688
2018-05-09,2018,7876
2018-05-10,2018,5837
2018-05-11,2018,6024
2018-05-12,2018,4906
2018-05-13,2018,5906
2018-05-14,2018,7379
2018-05-15,2018,5071
2018-05-16,2018,7638
