year,start_date,end_date,duration_days,max_drop_pct,total_lost_trips,trips_at_start,trips_at_lowest,baseline_at_start
2025,2025-05-21,2025-05-22,2,0.604,18667,10795,7017,18763
2025,2025-11-09,2025-11-10,2,0.701,17714,4523,4523,15139
2024,2024-10-13,2024-10-14,2,0.385,15753,14385,13315,21818
2022,2022-06-06,2022-06-07,2,0.444,15488,11042,10263,18319
2023,2023-10-08,2023-10-09,2,0.46,15154,9378,9378,17368
2021,2021-04-19,2021-04-22,4,0.591,13157,2589,2589,5824
2024,2024-04-11,2024-04-12,2,0.51,11998,6408,6408,13077
2021,2021-06-07,2021-06-08,2,0.44,11802,13208,9714,17367
2024,2024-05-27,2024-05-28,2,0.272,11145,16739,16739,22980
2021,2021-10-03,2021-10-04,2,0.447,10287,7472,7472,13523
2023,2023-04-17,2023-04-18,2,0.388,10124,9393,9393,15340
2025,2025-11-15,2025-11-16,2,0.292,9981,12048,12048,17005
2024,2024-03-09,2024-03-10,2,0.5,9932,6803,5866,10859
2026,2026-01-15,2026-01-17,3,0.921,9797,452,452,5750
2025,2025-03-29,2025-03-30,2,0.48,9708,5616,5267,10797
2020,2020-06-22,2020-06-23,2,0.446,9306,9196,7129,12770
2021,2021-10-25,2021-10-26,2,0.553,9268,4514,4514,10094
2021,2021-04-11,2021-04-12,2,0.628,9244,4823,3057,8907
2020,2020-05-28,2020-05-29,2,0.588,8806,3417,3417,8287
2023,2023-04-29,2023-04-30,2,0.42,8757,6311,5793,10887
2018,2018-10-06,2018-10-08,3,0.506,8480,3646,3153,6116
2018,2018-09-09,2018-09-10,2,0.765,8189,5672,1851,7851
2024,2024-04-03,2024-04-04,2,0.608,8187,3851,3851,9812
2020,2020-09-07,2020-09-08,2,0.28,8151,11797,11045,15657
2018,2018-06-23,2018-06-24,2,0.521,8145,4266,3723,8363
2024,2024-03-22,2024-03-24,3,0.398,8089,4569,4569,7589
2020,2020-05-18,2020-05-19,2,0.765,8031,1416,1416,6028
2024,2024-04-27,2024-04-28,2,0.298,7795,10631,10631,15139
2022,2022-12-23,2022-12-26,4,0.797,7779,764,764,3767
2021,2021-05-10,2021-05-11,2,0.422,7770,6958,6323,10104
2019,2019-08-17,2019-08-18,2,0.33,7059,9032,9032,13471
2024,2024-11-30,2024-12-01,2,0.278,6754,11357,9578,14421
2020,2020-06-10,2020-06-11,2,0.327,6675,8258,8258,12277
2025,2025-03-22,2025-03-23,2,0.297,6674,8171,7647,11628
2019,2019-04-19,2019-04-20,2,0.708,6475,1325,1325,4539
2017,2017-10-01,2017-10-03,3,0.833,6351,622,622,3733
2019,2019-05-12,2019-05-13,2,0.579,5992,2322,2313,5136
2021,2021-05-03,2021-05-04,2,0.413,5887,4387,4387,7474
2024,2024-02-24,2024-02-25,2,0.346,5710,6255,6255,9559
2019,2019-10-26,2019-10-27,2,0.496,5538,6234,3761,8065
2019,2019-03-30,2019-03-31,2,0.746,5438,949,949,3742
2026,2026-01-10,2026-01-11,2,0.323,5396,6642,6273,9040
2018,2018-09-30,2018-10-02,3,0.33,5346,4798,4173,6547
2017,2017-11-01,2017-11-03,3,0.765,5296,1637,643,2670
2024,2024-12-20,2024-12-22,3,0.346,5258,5684,3419,7532
2017,2017-12-01,2017-12-03,3,0.891,5241,1826,284,2573
2022,2022-04-18,2022-04-19,2,0.417,5232,4080,4080,6996
2021,2021-04-29,2021-04-30,2,0.545,5202,3133,3133,6888
2026,2026-03-06,2026-03-07,2,0.252,5165,7488,7488,9919
2025,2025-01-11,2025-01-12,2,0.498,5137,3365,3365,6704
2025,2025-12-25,2025-12-28,4,0.773,5037,2525,630,3538
2018,2018-10-27,2018-10-28,2,0.565,5021,2156,2156,4953
2020,2020-06-02,2020-06-03,2,0.278,5019,6534,6534,9048
2020,2020-11-22,2020-11-23,2,0.712,5002,1439,1439,4991
2024,2024-02-18,2024-02-19,2,0.391,4984,4536,4536,6589
2023,2023-02-03,2023-02-04,2,0.527,4928,3151,2597,5186
