date,total_delay_min,num_events,max_single_delay_min,is_disruption_day,is_strict_disruption
2025-01-01,106,50,12,0,0
2025-01-02,191,79,26,0,0
2025-01-03,294,65,90,1,1
2025-01-04,174,52,24,0,0
2025-01-05,129,51,18,0,0
2025-01-06,175,72,20,0,0
2025-01-07,154,80,16,0,0
2025-01-08,228,71,25,0,0
2025-01-09,197,84,21,0,0
2025-01-10,274,68,75,1,1
2025-01-11,124,60,17,0,0
2025-01-12,195,42,64,1,1
2025-01-13,260,72,40,1,0
2025-01-14,218,85,64,1,1
2025-01-15,126,67,14,0,0
2025-01-16,142,73,29,0,0
2025-01-17,242,67,54,1,0
2025-01-18,66,52,17,0,0
2025-01-19,111,43,10,0,0
2025-01-20,317,86,85,1,1
2025-01-21,191,68,13,0,0
2025-01-22,606,79,360,1,1
2025-01-23,246,66,18,0,0
2025-01-24,231,80,23,0,0
2025-01-25,172,66,34,1,0
2025-01-26,102,37,25,0,0
2025-01-27,220,77,25,0,0
2025-01-28,175,82,15,0,0
2025-01-29,300,83,89,1,1
2025-01-30,147,66,28,0,0
2025-01-31,268,83,34,1,0
2025-02-01,169,62,17,0,0
2025-02-02,91,65,14,0,0
2025-02-03,227,106,22,0,0
2025-02-04,253,57,55,1,0
2025-02-05,144,63,27,0,0
2025-02-06,325,87,101,1,1
2025-02-07,153,80,14,0,0
2025-02-08,256,58,87,1,1
2025-02-09,116,47,15,0,0
2025-02-10,197,80,15,0,0
2025-02-11,232,72,42,1,0
2025-02-12,315,92,120,1,1
2025-02-13,304,105,56,1,0
2025-02-14,428,112,56,1,1
2025-02-15,148,84,11,0,0
2025-02-16,2342,129,900,1,1
2025-02-17,330,106,119,1,1
2025-02-18,548,144,39,1,1
2025-02-19,354,131,15,1,1
2025-02-20,233,74,58,1,0
2025-02-21,186,78,18,0,0
2025-02-22,223,49,29,0,0
2025-02-23,193,58,30,1,0
2025-02-24,190,81,39,1,0
2025-02-25,383,70,87,1,1
2025-02-26,91,45,21,0,0
2025-02-27,215,74,75,1,1
2025-02-28,120,65,8,0,0
2025-03-01,231,64,38,1,0
2025-03-02,122,34,25,0,0
2025-03-03,279,65,30,1,0
2025-03-04,200,61,25,0,0
2025-03-05,458,97,139,1,1
2025-03-06,236,70,30,1,0
2025-03-07,250,64,26,0,0
2025-03-08,154,67,19,0,0
2025-03-09,76,43,20,0,0
2025-03-10,167,63,18,0,0
2025-03-11,164,68,17,0,0
2025-03-12,104,63,9,0,0
2025-03-13,171,70,37,1,0
2025-03-14,150,63,23,0,0
2025-03-15,146,51,29,0,0
2025-03-16,272,59,115,1,1
2025-03-17,310,78,39,1,0
2025-03-18,174,48,28,0,0
2025-03-19,113,64,28,0,0
2025-03-20,231,76,32,1,0
2025-03-21,313,65,93,1,1
2025-03-22,82,53,11,0,0
2025-03-23,138,63,15,0,0
2025-03-24,316,86,120,1,1
2025-03-25,174,63,26,0,0
2025-03-26,200,64,25,0,0
2025-03-27,294,68,109,1,1
2025-03-28,184,73,21,0,0
2025-03-29,103,54,16,0,0
2025-03-30,152,46,26,0,0
2025-03-31,341,83,140,1,1
2025-04-01,461,75,202,1,1
2025-04-02,309,94,36,1,0
2025-04-03,330,75,35,1,1
2025-04-04,200,70,23,0,0
2025-04-05,282,72,46,1,0
2025-04-06,113,59,17,0,0
2025-04-07,217,71,30,1,0
2025-04-08,174,87,17,0,0
2025-04-09,151,69,20,0,0
2025-04-10,195,69,32,1,0
2025-04-11,163,92,18,0,0
2025-04-12,137,48,57,1,0
2025-04-13,78,54,13,0,0
2025-04-14,227,70,26,0,0
2025-04-15,202,79,59,1,0
2025-04-16,242,77,90,1,1
2025-04-17,231,63,88,1,1
2025-04-18,75,47,13,0,0
2025-04-19,260,66,90,1,1
2025-04-20,172,51,51,1,0
2025-04-21,221,96,50,1,0
2025-04-22,265,85,34,1,0
2025-04-23,85,52,8,0,0
2025-04-24,122,76,11,0,0
2025-04-25,126,68,14,0,0
2025-04-26,118,64,30,1,0
2025-04-27,192,52,78,1,1
2025-04-28,227,86,48,1,0
2025-04-29,348,84,98,1,1
2025-04-30,132,66,17,0,0
2025-05-01,290,80,38,1,0
2025-05-02,247,65,61,1,1
2025-05-03,65,51,10,0,0
2025-05-04,125,67,16,0,0
2025-05-05,202,68,26,0,0
2025-05-06,144,60,21,0,0
2025-05-07,131,67,13,0,0
2025-05-08,144,70,18,0,0
2025-05-09,156,65,29,0,0
2025-05-10,139,65,20,0,0
2025-05-11,143,72,34,1,0
2025-05-12,282,94,76,1,1
2025-05-13,110,62,17,0,0
2025-05-14,404,96,129,1,1
2025-05-15,168,79,38,1,0
2025-05-16,157,86,19,0,0
2025-05-17,106,69,11,0,0
2025-05-18,43,41,6,0,0
2025-05-19,108,47,58,1,0
2025-05-20,183,86,15,0,0
2025-05-21,290,83,143,1,1
2025-05-22,171,76,18,0,0
2025-05-23,130,69,19,0,0
2025-05-24,168,61,25,0,0
2025-05-25,70,39,44,1,0
2025-05-26,169,69,26,0,0
2025-05-27,188,66,43,1,0
2025-05-28,168,71,55,1,0
2025-05-29,381,102,87,1,1
