year,station_name,trips
2016,Bay St / College St (East Side),5035
2016,Bay St / Queens Quay W (Ferry Terminal),6563
2016,Bay St / Wellesley St W,4898
2016,Dundas St E / Regent Park Blvd,2485
2016,Queens Quay / Yonge St,879
2016,Union Station,5668
2016,York St / Queens Quay W,6409
2017,Bay St / College St (East Side),17263
2017,Bay St / Queens Quay W (Ferry Terminal),15611
2017,Bay St / Wellesley St W,13890
2017,College St / Major St,7575
2017,Dundas St E / Regent Park Blvd,9948
2017,Dundas St W / Yonge St,13792
2017,Queens Quay / Yonge St,10244
2017,Union Station,26707
2017,York St / Queens Quay W,20262
2018,Bay St / College St (East Side),16965
2018,Bay St / Queens Quay W (Ferry Terminal),22743
2018,Bay St / Wellesley St W,19184
2018,College St / Major St,13670
2018,Dundas St E / Regent Park Blvd,13349
2018,Dundas St W / Yonge St,17054
2018,Fort York  Blvd / Capreol Ct,14378
2018,Queens Quay / Yonge St,13137
2018,Union Station,19869
2018,York St / Queens Quay W,24017
2019,Bay St / College St (East Side),18692
2019,Bay St / Queens Quay W (Ferry Terminal),22489
2019,Bay St / Wellesley St W,16061
2019,College St / Major St,13663
2019,Dundas St E / Regent Park Blvd,16361
2019,Dundas St W / Yonge St,16529
2019,Fort York  Blvd / Capreol Ct,15642
2019,Queens Quay / Yonge St,15256
2019,Union Station,19427
2019,York St / Queens Quay W,29294
2020,Bay St / College St (East Side),15406
2020,Bay St / Queens Quay W (Ferry Terminal),22562
2020,Bay St / Wellesley St W,13177
2020,College St / Major St,12862
2020,Dundas St E / Regent Park Blvd,17941
2020,Dundas St W / Yonge St,13797
2020,Fort York  Blvd / Capreol Ct,16766
2020,Queens Quay / Yonge St,19787
2020,Union Station,10553
2020,York St / Queens Quay W,25751
2021,Bay St / College St (East Side),19155
2021,Bay St / Queens Quay W (Ferry Terminal),27300
2021,Bay St / Wellesley St W,19962
2021,College St / Major St,17808
2021,Dundas St E / Regent Park Blvd,21067
2021,Dundas St W / Yonge St,17178
2021,Fort York  Blvd / Capreol Ct,20807
2021,Queens Quay / Yonge St,22276
2021,Union Station,14743
2021,York St / Queens Quay W,35868
2022,Bay St / College St (East Side),29848
2022,Bay St / Queens Quay W (Ferry Terminal),28434
2022,Bay St / Wellesley St W,23816
2022,College St / Major St,24026
2022,Dundas St E / Regent Park Blvd,22202
2022,Dundas St W / Yonge St,23797
2022,Fort York  Blvd / Capreol Ct,21360
2022,Queens Quay / Yonge St,23396
2022,Union Station,22497
2022,York St / Queens Quay W,38396
2023,Bay St / College St (East Side),43803
2023,Bay St / Queens Quay W (Ferry Terminal),32947
2023,Bay St / Wellesley St W,37605
2023,College St / Major St,29478
2023,Dundas St E / Regent Park Blvd,30299
2023,Dundas St W / Yonge St,35886
2023,Fort York  Blvd / Capreol Ct,28151
2023,Queens Quay / Yonge St,27556
2023,Union Station,39607
2023,York St / Queens Quay W,43541
2024,Bay St / College St (East Side),52522
2024,Bay St / Queens Quay W (Ferry Terminal),37661
2024,Bay St / Wellesley St W,42887
2024,College St / Major St,40197
2024,Dundas St E / Regent Park Blvd,31047
2024,Dundas St W / Yonge St,32718
2024,Fort York  Blvd / Capreol Ct,32506
2024,Queens Quay / Yonge St,34582
2024,Union Station,44669
2024,York St / Queens Quay W,49586
2025,Bay St / College St (East Side),40355
2025,Bay St / Queens Quay W (Ferry Terminal),37406
2025,Bay St / Wellesley St W,37046
2025,College St / Major St,39616
2025,Dundas St E / Regent Park Blvd,31776
2025,Dundas St W / Yonge St,33067
2025,Fort York  Blvd / Capreol Ct,34452
2025,Queens Quay / Yonge St,29535
2025,Union Station,31425
2025,York St / Queens Quay W,53698
2026,Bay St / College St (East Side),3885
2026,Bay St / Queens Quay W (Ferry Terminal),1927
2026,Bay St / Wellesley St W,3816
2026,College St / Major St,3071
2026,Dundas St E / Regent Park Blvd,2514
2026,Dundas St W / Yonge St,2339
2026,Fort York  Blvd / Capreol Ct,2211
2026,Queens Quay / Yonge St,884
2026,Union Station,2298
2026,York St / Queens Quay W,2528
