year,user_type,count,median_minutes,p25_minutes,p75_minutes
2016,Member,245478,10.17,6.75,14.77
2016,Casual,122484,19.02,12.28,28.38
2017,Member,387311,9.68,6.45,14.22
2017,Casual,78165,19.73,12.75,30.8
2018,Member,1572980,10.0,6.5,15.08
2018,Casual,349975,20.33,13.1,30.07
2019,Member,1847683,9.98,6.43,15.1
2019,Casual,575722,19.2,12.53,26.83
2020,Member,1868472,11.22,6.82,17.38
2020,Casual,1036497,19.72,12.87,26.93
2021,Member,2135438,10.85,6.7,16.8
2021,Casual,1428780,16.7,9.93,24.67
2022,Member,1633102,9.92,6.27,15.17
2022,Casual,2658367,13.85,8.23,21.78
2023,Member,363799,9.57,6.12,14.67
2023,Casual,5337235,11.63,7.12,19.02
2024,Member,5355998,10.38,6.48,16.28
2024,Casual,1581410,14.73,9.08,25.87
2025,Member,5658821,10.33,6.48,16.08
2025,Casual,2136844,15.18,9.22,27.72
2026,Member,488046,9.57,6.15,14.7
2026,Casual,60794,11.2,7.3,18.2
