year,month,user_type,trips
2016,7,Casual,41366
2016,7,Member,66018
2016,8,Casual,45960
2016,8,Member,84477
2016,9,Casual,35158
2016,9,Member,94982
2017,1,Casual,1321
2017,1,Member,10765
2017,2,Casual,2088
2017,2,Member,12389
2017,3,Casual,3090
2017,3,Member,12378
2017,4,Casual,1701
2017,4,Member,8067
2017,5,Casual,887
2017,5,Member,9483
2017,6,Casual,646
2017,6,Member,10057
2017,7,Casual,1289
2017,7,Member,10825
2017,8,Casual,2369
2017,8,Member,13395
2017,9,Casual,2541
2017,9,Member,14384
2017,10,Casual,3197
2017,10,Member,12416
2017,11,Casual,3218
2017,11,Member,11960
2017,12,Casual,1939
2017,12,Member,13022
2018,1,Casual,1390
2018,1,Member,42469
2018,2,Casual,2455
2018,2,Member,47276
2018,3,Casual,6405
2018,3,Member,78564
2018,4,Casual,12589
2018,4,Member,82194
2018,5,Casual,51761
2018,5,Member,160989
2018,6,Casual,64374
2018,6,Member,186463
2018,7,Casual,70481
2018,7,Member,215835
2018,8,Casual,71449
2018,8,Member,209770
2018,9,Casual,47212
2018,9,Member,207789
2018,10,Casual,15553
2018,10,Member,160326
2018,11,Casual,3612
2018,11,Member,100675
2018,12,Casual,2694
2018,12,Member,80630
2019,1,Casual,1942
2019,1,Member,59520
2019,2,Casual,1087
2019,2,Member,38971
2019,3,Casual,5343
2019,3,Member,82200
2019,4,Casual,21220
2019,4,Member,123931
2019,5,Casual,49984
2019,5,Member,164632
2019,6,Casual,91372
2019,6,Member,200546
2019,7,Casual,121813
2019,7,Member,260423
2019,8,Casual,154773
2019,8,Member,262622
2019,9,Casual,78709
2019,9,Member,252013
2019,10,Casual,39741
2019,10,Member,208916
2019,11,Casual,9431
2019,11,Member,127939
2019,12,Casual,4711
2019,12,Member,77678
2020,1,Casual,4589
2020,1,Member,97559
2020,2,Casual,9458
2020,2,Member,85725
2020,3,Casual,17094
2020,3,Member,87952
2020,4,Casual,19345
2020,4,Member,52434
2020,5,Casual,95231
2020,5,Member,100993
2020,6,Casual,180773
2020,6,Member,189698
2020,7,Casual,200156
2020,7,Member,258728
2020,8,Casual,200955
2020,8,Member,293513
2020,9,Casual,158651
2020,9,Member,282011
2020,10,Casual,70947
2020,10,Member,206643
2020,11,Casual,59631
2020,11,Member,143625
2020,12,Casual,22120
2020,12,Member,73228
2021,1,Casual,24903
2021,1,Member,61468
2021,2,Casual,5822
2021,2,Member,53057
2021,3,Casual,35183
2021,3,Member,122214
2021,4,Casual,73633
2021,4,Member,150666
2021,5,Casual,183922
2021,5,Member,240101
2021,6,Casual,155494
2021,6,Member,297153
2021,7,Casual,171814
2021,7,Member,292096
2021,8,Casual,190770
2021,8,Member,306173
2021,9,Casual,166920
2021,9,Member,287868
2021,10,Casual,233206
2021,10,Member,133942
2021,11,Casual,155089
2021,11,Member,87839
2021,12,Casual,37696
2021,12,Member,108153
2022,1,Casual,16295
2022,1,Member,40470
2022,2,Casual,20460
2022,2,Member,46550
2022,3,Casual,58674
2022,3,Member,93264
2022,4,Casual,128440
2022,4,Member,117480
2022,5,Casual,345342
2022,5,Member,159584
2022,6,Casual,471566
2022,6,Member,134079
2022,7,Casual,367028
2022,7,Member,313280
2022,8,Casual,413345
2022,8,Member,291805
2022,9,Casual,384433
2022,9,Member,218384
2022,10,Casual,335198
2022,10,Member,164553
2022,12,Casual,123714
2022,12,Member,56296
2023,1,Casual,130135
2023,1,Member,50000
2023,2,Casual,130015
2023,2,Member,42761
2023,3,Casual,173584
2023,3,Member,50961
2023,4,Casual,303161
2023,4,Member,77185
2023,5,Casual,506640
2023,5,Member,82577
2023,6,Casual,615182
2023,6,Member,48509
2023,7,Casual,723698
2023,7,Member,12226
2023,8,Casual,760003
2023,8,Member,138
2023,9,Casual,754303
2023,10,Casual,601075
2023,11,Casual,393873
2023,12,Casual,257115
2024,1,Casual,14477
2024,1,Member,190402
2024,2,Casual,23601
2024,2,Member,238173
2024,3,Casual,33030
2024,3,Member,279583
2024,4,Casual,58934
2024,4,Member,344854
2024,5,Casual,160191
2024,5,Member,526201
2024,6,Casual,193611
2024,6,Member,573257
2024,7,Casual,265176
2024,7,Member,641196
2024,8,Casual,271913
2024,8,Member,635241
2024,9,Casual,252123
2024,9,Member,649515
2024,10,Casual,191043
2024,10,Member,602978
2024,11,Casual,95181
2024,11,Member,460467
2024,12,Casual,27629
2024,12,Member,224318
2025,1,Casual,15810
2025,1,Member,187136
2025,2,Casual,9291
2025,2,Member,116379
2025,3,Casual,39473
2025,3,Member,272705
2025,4,Casual,94045
2025,4,Member,377480
2025,5,Casual,187700
2025,5,Member,511761
2025,6,Casual,318126
2025,6,Member,662498
2025,7,Casual,406814
2025,7,Member,785248
2025,8,Casual,412878
2025,8,Member,751819
2025,9,Casual,318710
2025,9,Member,743291
2025,10,Casual,226015
2025,10,Member,646467
2025,11,Casual,89422
2025,11,Member,422512
2025,12,Casual,23152
2025,12,Member,193788
2026,1,Casual,12099
2026,1,Member,125237
2026,2,Casual,9328
2026,2,Member,103582
2026,3,Casual,39743
2026,3,Member,262084
