variable,coefficient,std_err,t_value,p_value
const,9450.898394691469,1073.9467796541344,8.80015525325672,9.985937901213011e-17
total_rain_mm,-253.6644804376463,35.166579957586556,-7.213225759899997,4.265359460767212e-12
total_snow_cm,-443.8027872607084,115.9511140579071,-3.8274991220788874,0.00015678743254200327
temp_mean_c,464.3087265689229,50.57750368133251,9.180143201497964,6.458445405343241e-18
complaints_311,73.22638282761012,69.02438824972872,1.0608769550072459,0.28957699589860186
snow_lag_1,-270.48435339534666,114.75000319318292,-2.357162055498885,0.019040710799474767
snow_lag_2,-29.8853743324764,115.72665313543573,-0.2582410665372076,0.7963933405194571
snow_lag_3,-37.68101782000057,119.59776280171701,-0.315064570919044,0.7529259742514459
snow_lag_4,115.00865855818535,122.11449827329275,0.9418100240709788,0.347028014999709
snow_lag_5,33.34319276928683,121.1104740284325,0.27531221421409857,0.7832609843026068
snow_lag_6,-289.7624599793363,132.04736733800036,-2.194382711452582,0.028954420710715363
snow_lag_7,-225.3694527550195,134.13130510069024,-1.680215163684855,0.09392935711092165
snow_lag_8,-78.02312027132571,133.8953464929136,-0.5827171915601643,0.5605100595752998
snow_lag_9,-64.44747995161343,139.20928859044005,-0.46295387760525664,0.6437243540758772
snow_lag_10,-59.875736491243686,139.04272019891252,-0.43062834505529174,0.6670398156289371
snow_lag_11,3.6189663105703254,144.6168808852858,0.025024508123923594,0.9800516202465567
snow_lag_12,-96.16352861863766,145.76345898688717,-0.6597231520643901,0.509924507066907
snow_lag_13,-136.3101684694999,137.78115943056483,-0.9893237147434063,0.3232813458358484
snow_lag_14,-76.71005345760919,133.30119894773478,-0.5754640923198744,0.5653976454578942
complaints_lag_1,-80.32336574723396,70.95006621208222,-1.1321112161774918,0.2584682907961793
complaints_lag_2,41.284918535075235,69.59216666195982,0.5932408849348589,0.5534553210317477
complaints_lag_3,-22.821497553692833,67.62813187175756,-0.33745568481721444,0.7360032723554104
complaints_lag_4,-6.5258965947446885,67.05452175876339,-0.09732224499672636,0.9225337904627608
complaints_lag_5,-60.14465878703094,69.2640833995267,-0.8683383340266931,0.385885228262416
complaints_lag_6,17.55968470596828,69.2734972502113,0.2534834446504679,0.8000637692816754
complaints_lag_7,-7.275711158186944,65.92534627651514,-0.11036288118487746,0.9121934662630512
dow_1,2004.4452742394476,722.1622590249482,2.775616212547326,0.00584669908804641
dow_2,2386.3822310332366,735.5213402779676,3.2444772168423786,0.001306018591657495
dow_3,1403.1929331824238,744.7051457142034,1.8842261816744976,0.06047602643591889
dow_4,1886.092332902427,738.3939845481746,2.5543170344982324,0.011120647009389861
dow_5,1699.2438091673826,742.728866687034,2.287838652006235,0.02282439445438242
dow_6,426.26329987416364,748.9683988764322,0.5691338920488824,0.5696800738965034
month_2,692.774148881746,1334.7539633955532,0.5190276020004168,0.6041142237059473
month_3,-481.58131469919726,1401.963693966843,-0.34350484022633104,0.7314530613152109
month_4,2328.248724365617,1299.0464250384994,1.7922752254959753,0.07407024634015057
month_5,6372.18817467963,1534.669279965968,4.152157248381838,4.268528843645336e-05
month_6,12827.256959496657,1770.2248490943707,7.246117331399429,3.4677294821744496e-12
month_7,17324.338334739237,1883.2500723073667,9.199170407312597,5.62140914791361e-18
month_8,17478.79266060512,1791.9812719358356,9.75389248444722,9.189740442495336e-20
month_9,16966.368259527193,1649.657607476343,10.28478163143348,1.6008400752048554e-21
month_10,12114.320968490909,1412.6992295238797,8.575300895841632,4.892434697165151e-16
month_11,5588.2285964693965,1167.471721325788,4.786607242292233,2.637320453479966e-06
month_12,123.52769379858327,1104.901917051878,0.11179969180267368,0.9110550554677423
