quantile,variable,coefficient,ci_low,ci_high,p_value
0.25,const,7951.484300801618,5658.895972752976,10244.07262885026,4.5278962810750963e-11
0.25,total_rain_mm,-471.2770092766375,-530.6434241897533,-411.91059436352174,3.744993984526681e-41
0.25,total_snow_cm,-477.3909064133386,-711.251166666928,-243.53064615974915,7.39061216951565e-05
0.25,temp_mean_c,434.04253571011213,324.95666533266177,543.1284060875626,7.522018875479634e-14
0.25,snow_lag_1,-352.0310628165462,-579.0165693238118,-125.04555630928058,0.002470977286203028
0.25,snow_lag_2,23.21929274435388,-228.7666761877877,275.20526167649547,0.856251788047698
0.25,snow_lag_3,-114.38692672051002,-362.23606995763276,133.46221651661273,0.36455057063654556
0.25,snow_lag_4,49.91916132359256,-202.11723519405172,301.95555784123684,0.6970287017843602
0.25,snow_lag_5,-17.11062090636551,-250.56197461828916,216.34073280555813,0.8854295488041188
0.25,snow_lag_6,-144.29431940480572,-407.1228605059132,118.53422169630176,0.28089104853942354
0.25,snow_lag_7,-114.8964868961175,-387.78627265151556,157.99329885928057,0.408075690931915
0.25,snow_lag_8,-98.30479212455793,-342.93467548665546,146.32509123753962,0.4297459634351333
0.25,snow_lag_9,-109.33840714795588,-386.41283216415366,167.7360178682419,0.43808787977540886
0.25,snow_lag_10,-129.26501305370402,-427.96965653762027,169.43963043021222,0.3951701680388896
0.25,snow_lag_11,-40.11131073778199,-349.9553413764804,269.73271990091644,0.7991162301434609
0.25,snow_lag_12,-86.63874870221161,-391.10527364909603,217.8277762446728,0.5759647078551869
0.25,snow_lag_13,-109.19686578463734,-409.3215910371857,190.92785946791105,0.4746115864455605
0.25,snow_lag_14,-61.11747445963192,-325.8057487778699,203.57079985860605,0.6499228543911613
0.25,dow_1,2526.5407617562887,1092.2858943868796,3960.795629125698,0.0006015709172623767
0.25,dow_2,3823.442355198611,2345.2158435330716,5301.668866864151,6.191258855331558e-07
0.25,dow_3,1828.6606867083283,404.70916986195334,3252.6122035547032,0.012002029933039515
0.25,dow_4,2769.0727256393875,1319.9707805761982,4218.174670702577,0.00020265157398610022
0.25,dow_5,1307.416475353617,-169.00502880997624,2783.8379795172104,0.08243216809426397
0.25,dow_6,-247.6808170875156,-1772.5574439693248,1277.1958097942936,0.7495019773966083
0.25,month_2,508.0345531393614,-2296.86963708655,3312.938743365273,0.721808239150483
0.25,month_3,-248.03802677727072,-2822.681456009699,2326.6054024551577,0.8497861907188197
0.25,month_4,1828.7377755111083,-969.8191933543585,4627.294744376575,0.19949712585244406
0.25,month_5,5074.610087113804,1821.9137994475468,8327.306374780062,0.002329736026690522
0.25,month_6,11857.826288256678,8132.180471873682,15583.472104639673,1.2390959067316756e-09
0.25,month_7,16207.984249144327,12233.012629942612,20182.955868346042,2.0453352532421735e-14
0.25,month_8,17664.571074319072,13825.888566166948,21503.253582471196,1.4568341594695514e-17
0.25,month_9,18094.941549606854,14506.717855332154,21683.165243881554,2.242546330513184e-20
0.25,month_10,10954.792345542694,7836.269638516484,14073.315052568903,2.6559469680682474e-11
0.25,month_11,4677.936318245949,2135.3600209351457,7220.512615556752,0.00034312643486976554
0.25,month_12,-812.1976369750919,-3043.7566788635295,1419.3614049133457,0.47446424409368576
0.5,const,9107.888581032865,7154.055846136289,11061.72131592944,6.1691061717205106e-18
0.5,total_rain_mm,-283.6865664646393,-348.30829181221816,-219.0648411170605,2.8985246472674437e-16
0.5,total_snow_cm,-415.6547752144106,-624.3516983714835,-206.9578520573377,0.00010920969833840509
0.5,temp_mean_c,432.3993520215445,339.0172140278413,525.7814900152476,9.653851094335514e-18
0.5,snow_lag_1,-214.26397902632107,-421.0402789276968,-7.487679124945345,0.042307409858725234
0.5,snow_lag_2,27.271523377814447,-179.97937306913715,234.52241982476605,0.7958830004222075
0.5,snow_lag_3,-19.691820890362578,-231.8940656902165,192.51042390949135,0.8552455337489637
0.5,snow_lag_4,76.56876822742925,-138.51036596635785,291.6479024212164,0.484170889039474
0.5,snow_lag_5,58.327784023596905,-156.49106114143322,273.146629188627,0.5935670073148871
0.5,snow_lag_6,-229.36340754536468,-453.0139441872953,-5.712870903434066,0.04446149935007535
0.5,snow_lag_7,-200.7520420787041,-424.6510963397373,23.147012182329092,0.07868190211074265
0.5,snow_lag_8,-160.959376859013,-383.8837969464262,61.96504322840022,0.15641763114867216
0.5,snow_lag_9,-139.6850644874794,-370.30230509469936,90.93217611974055,0.23426679328202285
0.5,snow_lag_10,-91.54049109772313,-324.9800514264691,141.89906923102282,0.44096876822690473
0.5,snow_lag_11,-16.452340533956885,-246.03289273358592,213.12821166567215,0.8879628277893106
0.5,snow_lag_12,-126.83196404021874,-356.05835812059263,102.39443004015513,0.27714836265531523
0.5,snow_lag_13,-123.04692111487384,-343.8183915974264,97.72454936767872,0.2736576663994648
0.5,snow_lag_14,-95.31430581350287,-312.69735118110555,122.06873955409984,0.3889705791350655
0.5,dow_1,1896.0794280401897,586.2432950707494,3205.91556100963,0.004686436199572981
0.5,dow_2,2290.8277860856615,981.5790843656027,3600.0764878057203,0.0006537871912984315
0.5,dow_3,1748.237300359644,445.13252348926767,3051.3420772300205,0.008712494569167404
0.5,dow_4,1406.2872863306256,111.66444400584669,2700.9101286554046,0.033349024146241066
0.5,dow_5,169.6762156271143,-1141.5966015959316,1480.9490328501602,0.7992048358702426
0.5,dow_6,-658.2844475703314,-1994.3946798976824,677.8257847570196,0.3331060123405124
0.5,month_2,873.0730998772196,-1524.5745939044323,3270.7207936588716,0.474248793379188
0.5,month_3,197.7850213716738,-1928.278455655814,2323.8484983991616,0.8548887067126112
0.5,month_4,3069.6391219254583,741.4085244857997,5397.869719365117,0.009927448371632421
0.5,month_5,8174.002072500065,5503.315665473553,10844.688479526576,4.786519065547918e-09
0.5,month_6,14083.708866168745,10893.787166113118,17273.630566224372,2.0420322697890955e-16
0.5,month_7,18075.085348686087,14672.113183969726,21478.057513402448,3.7482337474412596e-22
0.5,month_8,19686.89263395313,16468.31329261194,22905.471975294324,1.0267212989284541e-27
0.5,month_9,18815.048114130273,15793.77354605569,21836.322682204856,1.666459902863706e-28
0.5,month_10,13971.828992216848,11385.324435668155,16558.333548765542,9.270633933408361e-23
0.5,month_11,7180.643607443664,5025.135125540412,9336.152089346917,2.273265268050721e-10
0.5,month_12,1607.99181400612,-378.21024317872093,3594.1938711909606,0.11219346544605376
0.75,const,10456.122744262218,8713.184542901634,12199.060945622803,6.9615912831648e-27
0.75,total_rain_mm,-181.67217965610325,-255.03956472299737,-108.30479458920914,1.7510655992136949e-06
0.75,total_snow_cm,-290.04008581116796,-469.98414795780707,-110.09602366452887,0.001666578837170452
0.75,temp_mean_c,368.5591677520424,278.3767991869554,458.74153631712943,1.806766022301627e-14
0.75,snow_lag_1,-204.03202071366832,-368.2284106060748,-39.835630821261844,0.015037761938385887
0.75,snow_lag_2,-59.570548275485635,-249.12975322173645,129.98865667076518,0.5368210160557579
0.75,snow_lag_3,-14.213066528784111,-190.31613098343888,161.88999792587066,0.8739322027184133
0.75,snow_lag_4,1.3475147718563676,-153.9550317008826,156.65006124459535,0.9863904142473326
0.75,snow_lag_5,-95.8105489029549,-299.9411737211842,108.32007591527443,0.35647022738678225
0.75,snow_lag_6,-175.21769883483648,-357.90165556783575,7.46625789816278,0.060064877894444965
0.75,snow_lag_7,-310.6450264407322,-471.48233821983274,-149.80771466163162,0.0001735189798544251
0.75,snow_lag_8,57.84645297192037,-142.19400164702267,257.8869075908634,0.5697947210980948
0.75,snow_lag_9,-86.91778932511806,-302.6067594586,128.77118080836382,0.4284554692538883
0.75,snow_lag_10,-75.99368884041905,-289.6335726411386,137.64619496030045,0.4845309790839291
0.75,snow_lag_11,12.588011737912893,-204.70201715842836,229.87804063425415,0.909325339154692
0.75,snow_lag_12,-160.40416440414265,-397.76456986527705,76.95624105699176,0.1846080976575901
0.75,snow_lag_13,-105.1424610633403,-299.61205854471933,89.32713641803872,0.2882525127270378
0.75,snow_lag_14,-143.13472584076226,-379.6205636984685,93.351112016944,0.23460897313128898
0.75,dow_1,1450.212743833661,229.29782682698692,2671.127660840335,0.020062878817511193
0.75,dow_2,1923.0686598718166,693.2149849402767,3152.9223348033565,0.002277663539612642
0.75,dow_3,1489.679322823882,293.377582481643,2685.981063166121,0.014827644254263193
0.75,dow_4,810.6621586829424,-345.8454274857231,1967.169744851608,0.16882915840985538
0.75,dow_5,371.8491546213627,-824.8052762177376,1568.503585460463,0.5413862491081171
0.75,dow_6,-661.846736907959,-1844.0806608028167,520.3871869868988,0.2715348481336546
0.75,month_2,131.23934930283576,-1971.8423473083553,2234.321045914027,0.9023604957576536
0.75,month_3,651.9002613723278,-1185.010862509503,2488.8113852541587,0.4855376792664669
0.75,month_4,5377.3253155350685,3437.8602988444754,7316.790332225662,9.896983476890461e-08
0.75,month_5,9794.853328734636,7547.761741554323,12041.94491591495,4.462772513138811e-16
0.75,month_6,16347.066071152687,13466.67319630838,19227.458945996994,1.2624145896293761e-24
0.75,month_7,20309.31990736723,17102.986807561058,23515.6530071734,2.870804227705416e-29
0.75,month_8,21343.481156885624,18405.294597439944,24281.667716331303,4.358222012050636e-36
0.75,month_9,19526.07283526659,16839.521521219896,22212.624149313284,4.075146946039314e-36
0.75,month_10,16333.988828241825,14257.590377707906,18410.387278775746,1.30976481471793e-40
0.75,month_11,7611.626994103193,5734.176838362384,9489.077149844003,2.7864437204166262e-14
0.75,month_12,1306.397326534614,-460.0397980853172,3072.834451154545,0.14663524914922912
