date,ridership,total_rain_mm,total_snow_cm,total_precip_mm,temp_mean_c,is_precip_event
2025-01-01,4144,0.7,0.0,0.7,1.3,0
2025-01-02,6779,0.0,1.8,1.8,-1.5,0
2025-01-03,7005,0.0,0.0,0.0,-2.7,0
2025-01-04,5267,0.0,0.0,0.0,-4.4,0
2025-01-05,5184,0.0,0.0,0.0,-3.6,0
2025-01-06,7480,0.0,0.0,0.0,-6.7,0
2025-01-07,8325,0.0,2.4,2.4,-6.7,0
2025-01-08,7689,0.0,0.0,0.0,-9.4,0
2025-01-09,8075,0.0,0.0,0.0,-8.5,0
2025-01-10,7661,0.0,5.2,4.2,-7.5,1
2025-01-11,3365,0.0,4.0,2.6,-2.8,0
2025-01-12,4975,0.0,0.4,0.4,-1.5,0
2025-01-13,7101,0.0,0.6,0.6,-3.5,0
2025-01-14,8065,0.0,0.0,0.0,-7.5,0
2025-01-15,8166,0.0,0.0,0.0,-7.5,0
2025-01-16,5939,0.0,2.6,2.2,-4.8,0
2025-01-17,8005,0.0,0.8,0.6,0.1,0
2025-01-18,4870,0.6,0.4,1.0,-1.2,0
2025-01-19,4645,0.0,0.6,0.6,-8.5,0
2025-01-20,5910,0.0,0.2,0.2,-12.1,0
2025-01-21,5871,0.0,0.0,0.0,-13.9,0
2025-01-22,5748,0.0,0.4,0.4,-14.0,0
2025-01-23,7639,0.0,0.0,0.0,-6.7,0
2025-01-24,7253,0.0,0.0,0.0,-6.9,0
2025-01-25,5691,0.0,0.0,0.0,-5.1,0
2025-01-26,5771,0.0,0.0,0.0,-3.0,0
2025-01-27,7548,0.0,0.6,0.6,-2.6,0
2025-01-28,5952,0.0,5.2,4.8,-4.7,1
2025-01-29,6448,0.6,0.0,0.6,-3.3,0
2025-01-30,8282,0.0,0.0,0.0,-4.7,0
2025-01-31,8093,0.0,0.0,0.0,-4.3,0
2025-02-01,5218,0.0,0.0,0.0,-11.3,0
2025-02-02,4075,0.0,1.0,1.0,-7.8,0
2025-02-03,6536,0.4,0.8,1.2,-1.3,0
2025-02-04,8165,0.0,0.0,0.0,-5.5,0
2025-02-05,8374,0.0,0.0,0.0,-7.4,0
2025-02-06,5986,0.4,2.8,3.2,-2.1,0
2025-02-07,7129,0.0,0.0,0.0,-5.4,0
2025-02-08,5362,0.0,12.6,9.2,-5.7,1
2025-02-09,3031,0.0,2.8,2.8,-3.1,0
2025-02-10,6652,0.0,0.0,0.0,-7.1,0
2025-02-11,7948,0.0,0.0,0.0,-7.3,0
2025-02-12,5211,0.0,14.0,11.2,-7.0,1
2025-02-13,1365,0.0,12.4,12.4,-5.8,1
2025-02-14,2941,0.0,0.0,0.0,-6.6,0
2025-02-15,1198,0.0,8.0,7.8,-4.4,1
2025-02-16,164,0.4,17.0,17.4,-7.3,1
2025-02-17,509,0.0,0.0,0.0,-10.3,0
2025-02-18,1403,0.0,0.2,0.2,-10.5,0
2025-02-19,1730,0.0,0.6,0.6,-9.4,0
2025-02-20,1921,0.0,1.2,1.2,-9.5,0
2025-02-21,2383,0.0,0.0,0.0,-9.3,0
2025-02-22,2119,0.0,0.0,0.0,-5.0,0
2025-02-23,2505,0.0,0.0,0.0,-1.2,0
2025-02-24,5396,0.0,0.0,0.0,2.7,0
2025-02-25,7183,0.0,0.0,0.2,4.2,0
2025-02-26,8031,0.0,0.0,0.0,1.7,0
2025-02-27,6409,0.7,4.6,5.3,2.3,0
2025-02-28,6726,0.4,0.2,0.6,-0.1,0
2025-03-01,4532,0.0,0.0,0.0,-4.5,0
2025-03-02,3950,0.0,0.0,0.0,-10.5,0
2025-03-03,7672,0.0,0.0,0.0,-2.6,0
2025-03-04,8949,0.7,0.0,0.7,3.4,0
2025-03-05,6087,14.1,0.0,14.1,4.7,1
2025-03-06,8025,0.0,0.0,0.0,-0.2,0
2025-03-07,8588,0.0,0.0,0.0,-0.2,0
2025-03-08,6732,0.0,0.0,0.0,-2.2,0
2025-03-09,7623,0.0,0.0,0.0,2.1,0
2025-03-10,11758,0.0,0.0,0.0,5.6,0
2025-03-11,13571,0.0,0.0,0.0,4.6,0
2025-03-12,10443,0.0,0.0,0.0,-1.3,0
2025-03-13,12052,0.0,0.0,0.0,1.7,0
2025-03-14,13224,0.0,0.0,0.0,5.6,0
2025-03-15,11034,4.5,0.0,4.5,8.6,0
2025-03-16,7928,22.1,0.0,22.1,8.6,1
2025-03-17,11865,0.0,0.0,0.0,1.4,0
2025-03-18,15776,0.0,0.0,0.0,7.9,0
2025-03-19,18303,0.0,0.0,0.0,12.3,0
2025-03-20,12052,1.1,0.0,1.1,7.0,0
2025-03-21,13500,0.0,0.0,0.0,2.5,0
2025-03-22,8171,0.0,0.0,0.0,0.6,0
2025-03-23,7647,0.0,2.4,2.4,-3.7,0
2025-03-24,9275,0.8,0.4,1.2,3.0,0
2025-03-25,12452,0.0,0.0,0.0,2.1,0
2025-03-26,12952,0.0,0.2,0.2,0.1,0
2025-03-27,15262,0.0,0.0,0.0,3.1,0
2025-03-28,10265,2.8,0.0,2.8,2.6,0
2025-03-29,5616,8.5,0.0,8.5,0.7,0
2025-03-30,5267,8.0,0.0,8.0,2.0,0
2025-03-31,11607,0.0,0.0,0.0,6.3,0
2025-04-01,14611,0.0,0.0,0.0,0.9,0
2025-04-02,5931,25.7,3.8,29.5,1.5,1
2025-04-03,17846,8.7,0.0,8.7,11.8,0
2025-04-04,15942,0.0,0.0,0.0,5.9,0
2025-04-05,8266,4.1,0.0,4.1,7.0,0
2025-04-06,11043,0.0,0.0,0.0,3.5,0
2025-04-07,13114,0.0,0.0,0.0,1.8,0
2025-04-08,9631,0.0,0.0,0.0,-2.4,0
2025-04-09,13729,0.0,0.0,0.0,-0.3,0
2025-04-10,10234,0.2,2.6,2.8,2.2,0
2025-04-11,9867,0.0,0.4,0.4,3.0,0
2025-04-12,13927,0.0,0.0,0.0,6.2,0
2025-04-13,17628,0.0,0.0,0.0,6.7,0
2025-04-14,16432,1.1,0.0,1.1,10.2,0
2025-04-15,15063,0.0,0.0,0.0,6.2,0
2025-04-16,14419,0.0,0.0,0.0,2.9,0
2025-04-17,19166,0.0,0.0,0.0,4.4,0
2025-04-18,13181,2.2,0.0,2.2,12.9,0
2025-04-19,16422,0.0,0.0,0.0,13.4,0
2025-04-20,13863,0.0,0.0,0.0,6.1,0
2025-04-21,11620,1.6,0.0,1.6,9.0,0
2025-04-22,20849,0.0,0.0,0.0,10.3,0
2025-04-23,21252,0.0,0.0,0.0,10.4,0
2025-04-24,24282,0.0,0.0,0.0,14.7,0
2025-04-25,19729,0.0,0.0,0.0,14.3,0
2025-04-26,15247,0.2,0.0,0.2,9.8,0
2025-04-27,23416,0.0,0.0,0.0,11.8,0
2025-04-28,22528,0.0,0.0,0.0,12.8,0
2025-04-29,21139,4.8,0.0,4.8,16.0,0
2025-04-30,21148,0.0,0.0,0.0,7.4,0
2025-05-01,11317,11.6,0.0,11.6,7.8,1
2025-05-02,23078,0.0,0.0,0.0,13.9,0
2025-05-03,17755,0.2,0.0,0.2,8.1,0
2025-05-04,19302,0.0,0.0,0.0,9.8,0
2025-05-05,18297,1.3,0.0,1.3,15.3,0
2025-05-06,24769,1.8,0.0,1.8,14.3,0
2025-05-07,27813,0.0,0.0,0.0,15.3,0
2025-05-08,22557,0.0,0.0,0.0,9.6,0
2025-05-09,24665,0.0,0.0,0.0,10.5,0
2025-05-10,27788,0.0,0.0,0.0,13.6,0
2025-05-11,22929,0.0,0.0,0.0,9.6,0
2025-05-12,25646,0.0,0.0,0.0,16.2,0
2025-05-13,21892,1.3,0.0,1.3,18.9,0
2025-05-14,26469,2.9,0.0,2.9,17.5,0
2025-05-15,28559,0.0,0.0,0.0,18.5,0
2025-05-16,28689,15.1,0.0,15.1,20.8,1
2025-05-17,20389,5.7,0.0,5.7,16.3,0
2025-05-18,23482,0.0,0.0,0.0,13.3,0
2025-05-19,23826,0.0,0.0,0.0,9.7,0
2025-05-20,25130,0.0,0.0,0.0,8.8,0
2025-05-21,10795,16.8,0.0,16.8,9.0,1
2025-05-22,7017,11.8,0.0,11.8,8.7,1
2025-05-23,17776,1.0,0.0,1.0,10.5,0
2025-05-24,23320,0.0,0.0,0.0,11.4,0
2025-05-25,16145,0.9,0.0,0.9,12.6,0
2025-05-26,30084,0.0,0.0,0.0,14.3,0
2025-05-27,30082,0.0,0.0,0.0,15.7,0
2025-05-28,21348,7.0,0.0,7.0,13.9,0
2025-05-29,25477,0.9,0.0,0.9,15.5,0
2025-05-30,31030,0.0,0.0,0.0,18.9,0
2025-05-31,22035,0.0,0.0,0.0,10.6,0
2025-06-01,23778,0.0,0.0,0.0,10.8,0
2025-06-02,28647,0.0,0.0,0.0,14.7,0
2025-06-03,33120,0.0,0.0,0.0,21.0,0
2025-06-04,33254,9.8,0.0,9.8,23.3,0
2025-06-05,27770,2.2,0.0,2.2,18.6,0
2025-06-06,30912,0.0,0.0,0.0,19.2,0
2025-06-07,37847,0.0,0.0,0.0,20.1,0
