Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO INTL A,6158731,2025-01-01,2025,1,1,,2.8,,-0.2,,1.3,,16.7,,0.0,,0.7,,0.0,T,0.7,,,,30.0,,62.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-02,2025,1,2,,0.4,,-3.4,,-1.5,,19.5,,0.0,,0.0,,1.8,,1.8,,0.0,T,26.0,,59.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-03,2025,1,3,,-0.3,,-5.1,,-2.7,,20.7,,0.0,,0.0,,0.0,T,0.0,T,1.0,,29.0,,60.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-04,2025,1,4,,-1.8,,-7.0,,-4.4,,22.4,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,27.0,,71.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-05,2025,1,5,,-0.8,,-6.4,,-3.6,,21.6,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,26.0,,50.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-06,2025,1,6,,-3.6,,-9.8,,-6.7,,24.7,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,1.0,,42.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-07,2025,1,7,,-4.0,,-9.3,,-6.7,,24.7,,0.0,,0.0,,2.4,,2.4,,1.0,,29.0,,55.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-08,2025,1,8,,-5.8,,-12.9,,-9.4,,27.4,,0.0,,0.0,,0.0,,0.0,,1.0,,31.0,,53.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-09,2025,1,9,,-4.1,,-12.8,,-8.5,,26.5,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,34.0,,35.0,
-79.63,43.68,TORONTO INTL A,6158731,2025-01-10,2025,1,10,,-2.6,,-12.4,,-7.5,,25.5,,0.0,,0.0,,5.2,,4.2,,0.0,T,,M,,M
