month_label,code,count,total_delay_min,mean_delay_min,description,category
2025-01,MFDV,11,1134,103.0909090909091,ON DIVERSION,Operations
2025-01,MFPR,1,596,596.0,HELD BY PARADES/MARCHES,Operations
2025-01,EFO,14,141,10.071428571428571,OTHER,Equipment
2025-01,TFPD,14,137,9.785714285714286,TTC COLLISION â PROPERTY DAMAGE,Transportation
2025-01,MFWEA,3,107,35.666666666666664,WEATHER RELATED,Operations
2025-01,MFO,3,87,29.0,OTHER,Operations
2025-01,SFDP,6,85,14.166666666666666,DISORDERLY PATRON,Safety/Security
2025-01,TFO,8,80,10.0,OTHER â SWITCH VIOLATION,Transportation
2025-01,MFVIS,6,70,11.666666666666666,VISION ISSUES,Operations
2025-01,MFUI,3,58,19.333333333333332,ILL CUSTOMER - TRANSPORTED,Operations
2025-01,SFO,5,56,11.2,OTHER,Safety/Security
2025-01,TFCNO,4,56,14.0,NO OPERATOR AVAILABLE,Transportation
2025-01,MFSAN,6,53,8.833333333333334,UNSANITARY,Operations
2025-01,MFUIR,3,34,11.333333333333334,ILL CUSTOMER â TRANSPORTATION DECLINED,Operations
2025-01,MFESA,1,30,30.0,NO OPERATOR AVAILABLE DUE TO ESA,Operations
2025-01,MFTO,3,26,8.666666666666666,ILL OPERATOR & NON CHARGEABLE OPERATOR ISSUES,Operations
2025-01,SFPOL,2,26,13.0,HELD DUE TO POLICE INVESTIGATION,Safety/Security
2025-01,EFD,2,18,9.0,DOORS,Equipment
2025-01,EFB,1,17,17.0,BODY,Equipment
2025-01,EFHVA,2,16,8.0,HEAT / VENT / AC,Equipment
2025-01,MFPI,1,15,15.0,COLLISION/PERSONAL INJURY - TTC NOT INVOLVED,Operations
2025-01,TFOI,2,14,7.0,ON BOARD INJURY,Transportation
2025-01,MFS,1,8,8.0,FIRE / SMOKE,Operations
2025-01,EFP,1,5,5.0,PROPULSION,Equipment
2025-02,MFDV,9,1468,163.11111111111111,ON DIVERSION,Operations
2025-02,MFWEA,14,373,26.642857142857142,WEATHER RELATED,Operations
2025-02,EFO,28,328,11.714285714285714,OTHER,Equipment
2025-02,MFSH,26,285,10.961538461538462,USED AS SHUTTLE BUS,Operations
2025-02,TFPD,22,240,10.909090909090908,TTC COLLISION â PROPERTY DAMAGE,Transportation
2025-02,MFVIS,8,130,16.25,VISION ISSUES,Operations
2025-02,SFDP,6,102,17.0,DISORDERLY PATRON,Safety/Security
2025-02,TFCNO,8,96,12.0,NO OPERATOR AVAILABLE,Transportation
2025-02,TFO,3,53,17.666666666666668,OTHER â SWITCH VIOLATION,Transportation
2025-02,EFP,3,46,15.333333333333334,PROPULSION,Equipment
2025-02,MFTO,2,36,18.0,ILL OPERATOR & NON CHARGEABLE OPERATOR ISSUES,Operations
2025-02,MFUIR,2,36,18.0,ILL CUSTOMER â TRANSPORTATION DECLINED,Operations
2025-02,MFSAN,3,34,11.333333333333334,UNSANITARY,Operations
2025-02,EFB,3,32,10.666666666666666,BODY,Equipment
2025-02,MFUI,3,32,10.666666666666666,ILL CUSTOMER - TRANSPORTED,Operations
2025-02,SFAP,1,29,29.0,ASSAULT â PATRON,Safety/Security
2025-02,MFUS,1,20,20.0,UNABLE TO MAINTAIN SCHEDULE,Operations
2025-02,EFD,2,18,9.0,DOORS,Equipment
2025-02,EFHVA,2,18,9.0,HEAT / VENT / AC,Equipment
2025-02,EFRA,1,8,8.0,RAMP ISSUES,Equipment
2025-02,MFO,1,8,8.0,OTHER,Operations
2025-02,MFS,1,8,8.0,FIRE / SMOKE,Operations
2025-02,SFO,1,8,8.0,OTHER,Safety/Security
2025-02,SFPOL,1,8,8.0,HELD DUE TO POLICE INVESTIGATION,Safety/Security
2025-02,TFOI,1,8,8.0,ON BOARD INJURY,Transportation
2025-03,MFDV,18,6351,352.8333333333333,ON DIVERSION,Operations
2025-03,EFO,25,299,11.96,OTHER,Equipment
