route,category,count,total_delay_min,mean_delay_min
29 DUFFERIN,Operations,372,24789,66.63709677419355
97 YONGE,Operations,222,17351,78.15765765765765
63 OSSINGTON,Operations,384,14932,38.885416666666664
64 MAIN,Operations,191,13192,69.06806282722513
52 LAWRENCE WEST,Operations,441,12171,27.598639455782312
94 WELLESLEY,Operations,192,11170,58.177083333333336
102 MARKHAM ROAD,Operations,308,11030,35.811688311688314
47 LANSDOWNE,Operations,310,10925,35.24193548387097
52 LAWRENCE WEST,Equipment,576,10471,18.178819444444443
75 SHERBOURNE,Operations,199,10214,51.32663316582914
162 LAWRENCE-DONWAY,Operations,39,9940,254.87179487179486
32 EGLINTON WEST,Operations,447,9908,22.165548098434005
54 LAWRENCE EAST,Operations,324,9888,30.51851851851852
96 WILSON,Operations,247,8765,35.48582995951417
129 MCCOWAN NORTH,Operations,136,8617,63.36029411764706
86 SCARBOROUGH,Operations,194,8206,42.29896907216495
160 BATHURST NORTH,Operations,83,8180,98.55421686746988
35 JANE,Operations,258,8161,31.631782945736433
53 STEELES EAST,Operations,264,7982,30.234848484848484
102 MARKHAM ROAD,Equipment,521,7935,15.230326295585412
19 BAY,Operations,86,7915,92.03488372093024
161 ROGERS ROAD,Operations,112,7887,70.41964285714286
13 AVENUE ROAD,Operations,56,7874,140.60714285714286
88 SOUTH LEASIDE,Operations,77,7803,101.33766233766234
165 WESTON ROAD NORTH,Operations,243,7659,31.51851851851852
121 ESPLANADE-RIVER,Operations,90,7445,82.72222222222223
43 KENNEDY,Operations,251,7385,29.422310756972113
939 FINCH EXPRESS,Operations,267,7149,26.775280898876403
68 WARDEN,Operations,153,6974,45.58169934640523
134 PROGRESS,Operations,76,6909,90.90789473684211
72 PAPE,Operations,187,6816,36.44919786096256
24 VICTORIA PARK,Operations,233,6723,28.854077253218883
37 ISLINGTON,Operations,162,6639,40.98148148148148
42 CUMMER,Operations,102,6334,62.09803921568628
7 BATHURST,Operations,248,6312,25.451612903225808
85 SHEPPARD EAST,Equipment,454,6266,13.801762114537445
32 EGLINTON WEST,Equipment,519,6213,11.971098265895954
133 NEILSON,Operations,145,6159,42.47586206896552
39 FINCH EAST,Operations,153,6128,40.052287581699346
86 SCARBOROUGH,Equipment,398,6091,15.304020100502512
939 FINCH EXPRESS,Equipment,475,6084,12.808421052631578
97 YONGE,Transportation,193,6030,31.243523316062177
107 YORK UNIVERSITY HE,Operations,44,6022,136.86363636363637
34 EGLINTON EAST,Operations,232,6016,25.93103448275862
59 MAPLE LEAF,Operations,64,5952,93.0
127 DAVENPORT,Operations,59,5952,100.88135593220339
77 SWANSEA,Operations,31,5879,189.6451612903226
52 LAWRENCE WEST,Transportation,298,5878,19.7248322147651
12 KINGSTON ROAD,Operations,126,5844,46.38095238095238
85 SHEPPARD EAST,Operations,214,5833,27.257009345794394
96 WILSON,Equipment,356,5751,16.15449438202247
26 DUPONT,Operations,81,5628,69.48148148148148
929 DUFFERIN EXPRESS,Operations,197,5603,28.441624365482234
116 MORNINGSIDE,Operations,192,5553,28.921875
73 ROYAL YORK,Operations,105,5509,52.46666666666667
154 CURRAN HALL,Operations,70,5471,78.15714285714286
95 YORK MILLS,Equipment,465,5440,11.698924731182796
38 HIGHLAND CREEK,Operations,131,5402,41.23664122137404
84 SHEPPARD WEST,Operations,167,5279,31.610778443113773
32 EGLINTON WEST,Transportation,430,5259,12.230232558139535
108 DRIFTWOOD,Operations,90,5028,55.86666666666667
45 KIPLING,Operations,138,4990,36.15942028985507
168 SYMINGTON,Operations,100,4987,49.87
33 FOREST HILL,Operations,35,4979,142.25714285714287
7 BATHURST,Equipment,487,4952,10.168377823408624
80 QUEENSWAY,Operations,84,4840,57.61904761904762
110 ISLINGTON SOUTH,Operations,94,4738,50.40425531914894
131 NUGGET,Operations,100,4693,46.93
71 RUNNYMEDE,Operations,70,4686,66.94285714285714
36 FINCH WEST,Operations,237,4646,19.60337552742616
927 HIGHWAY 27 EXPRESS,Operations,100,4599,45.99
82 ROSEDALE,Operations,29,4583,158.0344827586207
21 BRIMLEY,Operations,103,4568,44.349514563106794
87 COSBURN,Operations,46,4556,99.04347826086956
95 YORK MILLS,Operations,187,4545,24.3048128342246
57 MIDLAND,Operations,82,4505,54.9390243902439
41 KEELE,Operations,157,4492,28.611464968152866
54 LAWRENCE EAST,Transportation,325,4481,13.787692307692307
14 GLENCAIRN,Operations,54,4430,82.03703703703704
104 FAYWOOD,Operations,37,4359,117.8108108108108
17 BIRCHMOUNT,Operations,109,4344,39.85321100917431
905 EGLINTON EAST EXPR,Operations,81,4323,53.370370370370374
38 HIGHLAND CREEK,Equipment,317,4309,13.593059936908517
37 ISLINGTON,Equipment,237,4260,17.974683544303797
903 KENNEDY SCARBOROUG,Operations,104,4253,40.89423076923077
123 SHERWAY,Operations,106,4188,39.509433962264154
102 MARKHAM ROAD,Transportation,248,4094,16.508064516129032
31 GREENWOOD,Operations,70,4066,58.08571428571429
112 WEST MALL,Operations,91,4051,44.51648351648352
996 WILSON EXPRESS,Operations,135,3975,29.444444444444443
133 NEILSON,Equipment,275,3920,14.254545454545454
300 BLOOR-DANFORTH,Operations,115,3862,33.582608695652176
51 LESLIE,Operations,85,3843,45.21176470588235
36 FINCH WEST,Equipment,500,3834,7.668
54 LAWRENCE EAST,Equipment,294,3786,12.877551020408163
129 MCCOWAN NORTH,Equipment,207,3775,18.23671497584541
89 WESTON,Operations,192,3738,19.46875
29 DUFFERIN,Transportation,319,3738,11.717868338557993
40 JUNCTION-DUNDAS WES,Operations,98,3718,37.93877551020408
118 THISTLE DOWN,Operations,56,3700,66.07142857142857
20 CLIFFSIDE,Operations,66,3689,55.89393939393939
76 ROYAL YORK SOUTH,Operations,73,3673,50.31506849315068
39 FINCH EAST,Equipment,232,3618,15.594827586206897
109 RANEE,Operations,43,3592,83.53488372093024
11 BAYVIEW,Operations,97,3519,36.27835051546392
56 LEASIDE,Operations,83,3489,42.036144578313255
84 SHEPPARD WEST,Equipment,288,3478,12.07638888888889
97 YONGE,Equipment,106,3443,32.4811320754717
116 MORNINGSIDE,Equipment,401,3438,8.57356608478803
165 WESTON ROAD NORTH,Equipment,414,3433,8.292270531400966
12 KINGSTON ROAD,Equipment,148,3412,23.054054054054053
53 STEELES EAST,Equipment,295,3396,11.511864406779662
62 MORTIMER,Operations,63,3350,53.17460317460318
904 SHEPPARD-KENNEDY E,Operations,122,3341,27.385245901639344
904 SHEPPARD-KENNEDY E,Equipment,246,3339,13.573170731707316
29 DUFFERIN,Equipment,306,3332,10.88888888888889
44 KIPLING SOUTH,Operations,133,3322,24.977443609022558
55 WARREN PARK,Operations,24,3317,138.20833333333334
35 JANE,Equipment,265,3289,12.41132075471698
126 CHRISTIE,Operations,41,3278,79.95121951219512
8 BROADVIEW,Operations,65,3251,50.01538461538462
25 DON MILLS,Operations,244,3248,13.311475409836065
131 NUGGET,Equipment,217,3243,14.944700460829493
34 EGLINTON EAST,Transportation,286,3237,11.318181818181818
925 DON MILLS EXPRESS,Operations,172,3226,18.75581395348837
37 ISLINGTON,Transportation,169,3196,18.911242603550296
68 WARDEN,Equipment,166,3150,18.97590361445783
902 MARKHAM RD EXPRESS,Operations,67,3137,46.82089552238806
65 PARLIAMENT,Operations,97,3115,32.11340206185567
939 FINCH EXPRESS,Transportation,228,3105,13.618421052631579
24 VICTORIA PARK,Equipment,248,3032,12.225806451612904
130 MIDDLEFIELD,Operations,80,3023,37.7875
67 PHARMACY,Operations,69,3001,43.492753623188406
960 STEELES WEST EXPRE,Operations,136,3000,22.058823529411764
9 BELLAMY,Operations,66,2947,44.65151515151515
927 HIGHWAY 27 EXPRESS,Equipment,281,2930,10.427046263345195
43 KENNEDY,Equipment,245,2920,11.918367346938776
129 MCCOWAN NORTH,Transportation,153,2877,18.80392156862745
79 SCARLETT ROAD,Operations,67,2872,42.865671641791046
