route,total_events,significant_delays,total_delay_min,mean_delay_min,median_delay_min,pct_equipment,pct_operations,pct_infrastructure,pct_safety/security,pct_transportation
29 DUFFERIN,1232,1072.0,32790.0,30.58768656716418,10.0,0.10161634644708753,0.755992680695334,0.0,0.028392802683745045,0.11399817017383349
52 LAWRENCE WEST,1554,1417.0,30332.0,21.40578687367678,20.0,0.3452129763945668,0.40125939601740734,0.0,0.059738889621521823,0.19378873796650403
97 YONGE,643,556.0,28027.0,50.40827338129496,30.0,0.12284582723802048,0.6190815998858243,0.0,0.04292289577907018,0.21514967709708496
102 MARKHAM ROAD,1187,1120.0,23760.0,21.214285714285715,12.0,0.33396464646464646,0.4642255892255892,0.0,0.029503367003367004,0.1723063973063973
32 EGLINTON WEST,1701,1466.0,22257.0,15.18212824010914,12.0,0.2791481331715865,0.445163319405131,0.0,0.03940333378263018,0.2362852136406524
63 OSSINGTON,1015,888.0,19535.0,21.998873873873872,10.0,0.09838750959815716,0.7643716406449962,0.0,0.022318914768364475,0.11492193498848222
54 LAWRENCE EAST,1108,1004.0,19445.0,19.367529880478088,12.0,0.19470300848547184,0.508511185394703,0.0,0.06634096168680895,0.2304448444330162
96 WILSON,944,832.0,18200.0,21.875,18.0,0.315989010989011,0.4815934065934066,0.0,0.04543956043956044,0.15697802197802196
86 SCARBOROUGH,865,789.0,17402.0,22.05576679340938,18.0,0.35001723939777035,0.4715549936788875,0.0,0.03424893690380416,0.144178830019538
939 FINCH EXPRESS,1087,1010.0,16909.0,16.74158415841584,14.0,0.35980838606659177,0.4227925956591164,0.0,0.03376899875805784,0.18363001951623395
47 LANSDOWNE,798,700.0,16699.0,23.855714285714285,17.0,0.13437930414994909,0.6542307922630097,0.0,0.039702976226121324,0.1716869273609198
64 MAIN,493,461.0,16346.0,35.45770065075922,10.0,0.08399608466903218,0.8070475957420775,0.0,0.020433133488315183,0.08852318610057507
129 MCCOWAN NORTH,548,513.0,15612.0,30.432748538011698,20.0,0.24180117858057903,0.5519472200871125,0.0,0.0219702792723546,0.18428132205995387
94 WELLESLEY,489,443.0,15337.0,34.620767494356656,20.0,0.08639238442981026,0.7283041011931929,0.0003260089978483406,0.037947447349546845,0.14703005802960162
85 SHEPPARD EAST,948,872.0,14985.0,17.184633027522935,15.0,0.4181514848181515,0.3892559225892559,0.0,0.0359693026359693,0.15662328995662328
37 ISLINGTON,646,597.0,14677.0,24.58458961474037,20.0,0.2902500511003611,0.4523403965388022,0.0012264086666212441,0.038427471554132314,0.21775567214008312
35 JANE,868,779.0,14653.0,18.810012836970476,12.0,0.22445915512181805,0.5569507950590323,0.0,0.0627857776564526,0.15580427216269707
53 STEELES EAST,859,789.0,14275.0,18.09252217997465,9.0,0.23789842381786339,0.5591593695271454,0.0,0.04084063047285464,0.1621015761821366
7 BATHURST,1159,993.0,13939.0,14.037260825780463,10.0,0.35526221393213286,0.4528301886792453,0.0,0.03938589568835641,0.15252170170026544
43 KENNEDY,731,690.0,13587.0,19.691304347826087,10.0,0.2149113122838007,0.5435342606903658,0.0,0.09185250607198057,0.14970192095385296
68 WARDEN,527,477.0,13498.0,28.29769392033543,20.0,0.23336790635649726,0.5166691361683212,0.0,0.049266558008593864,0.20069639946658765
75 SHERBOURNE,514,455.0,13035.0,28.64835164835165,9.0,0.08216340621403913,0.7835826620636748,0.0,0.05354813962408899,0.08070579209819716
165 WESTON ROAD NORTH,988,875.0,13019.0,14.878857142857143,8.0,0.26369152776710963,0.5882940317996774,0.0,0.02342729856363776,0.12458714186957523
39 FINCH EAST,645,586.0,12978.0,22.146757679180887,17.0,0.2787794729542302,0.4721836954846664,0.0,0.04523038989058407,0.20380644167051934
95 YORK MILLS,953,880.0,12742.0,14.479545454545455,10.0,0.4269345471668498,0.3566943964840684,0.0,0.04653900486579815,0.16983205148328362
12 KINGSTON ROAD,459,420.0,12577.0,29.945238095238096,22.0,0.2712888606185895,0.4646577085155442,0.0,0.052476743261509105,0.21157668760435716
24 VICTORIA PARK,752,700.0,12521.0,17.88714285714286,10.0,0.24215318265314273,0.5369379442536538,0.0,0.03442217075313474,0.18648670234006867
38 HIGHLAND CREEK,664,628.0,12314.0,19.60828025477707,15.0,0.3499269124573656,0.438687672567809,0.0,0.029478642195874614,0.1819067727789508
34 EGLINTON EAST,839,764.0,12276.0,16.06806282722513,10.0,0.20177582274356468,0.49006190941674815,0.0,0.04447702834799609,0.2636852394916911
133 NEILSON,626,553.0,11879.0,21.481012658227847,15.0,0.32999410724808487,0.5184779863624884,0.0,0.028621937873558382,0.12290596851586834
162 LAWRENCE-DONWAY,110,95.0,11712.0,123.28421052631579,30.0,0.06446379781420765,0.8487021857923497,0.0,0.0025614754098360654,0.08427254098360656
116 MORNINGSIDE,927,847.0,11212.0,13.237308146399055,8.0,0.30663574741348554,0.4952729218694256,0.0,0.050214056368176954,0.14787727434891187
161 ROGERS ROAD,327,284.0,11098.0,39.07746478873239,20.0,0.09533249234096233,0.7106685889349432,0.0,0.0261308343845738,0.16786808433952063
19 BAY,229,209.0,10949.0,52.38755980861244,25.0,0.08968855603251438,0.7228970682254087,0.0,0.02429445611471367,0.16311991962736322
36 FINCH WEST,1206,1018.0,10752.0,10.56188605108055,6.0,0.35658482142857145,0.43210565476190477,0.0,0.059895833333333336,0.15141369047619047
84 SHEPPARD WEST,659,616.0,10657.0,17.300324675324674,9.0,0.32635826217509617,0.4953551656188421,0.0,0.027681336210941165,0.15060523599512057
88 SOUTH LEASIDE,233,201.0,10561.0,52.54228855721393,24.0,0.06268345800587066,0.7388504876432156,0.0,0.028974528927184925,0.1694915254237288
110 ISLINGTON SOUTH,366,351.0,10304.0,29.356125356125357,25.0,0.2746506211180124,0.45982142857142855,0.0,0.026106366459627328,0.23942158385093168
73 ROYAL YORK,358,333.0,10278.0,30.864864864864863,23.0,0.24275150807550108,0.535999221638451,0.0,0.03249659466822339,0.18875267561782447
160 BATHURST NORTH,291,169.0,10201.0,60.36094674556213,24.0,0.0916576806195471,0.8018821684148613,0.0,0.01078325654347613,0.09567689442211548
121 ESPLANADE-RIVER,245,224.0,9936.0,44.357142857142854,20.0,0.0861513687600644,0.7492954911433173,0.0,0.02787842190016103,0.13667471819645732
134 PROGRESS,284,254.0,9723.0,38.27952755905512,15.0,0.15777023552401523,0.7105831533477321,0.0,0.012547567623161575,0.11909904350509103
72 PAPE,576,518.0,9675.0,18.677606177606176,9.0,0.13147286821705426,0.7044961240310077,0.0,0.026253229974160207,0.13777777777777778
13 AVENUE ROAD,153,130.0,9589.0,73.76153846153846,25.0,0.06090311815622067,0.821149233496715,0.0,0.010950046928772552,0.10699760141829179
41 KEELE,661,604.0,9390.0,15.54635761589404,10.0,0.24653887113951012,0.47838125665601705,0.0,0.04866879659211928,0.22641107561235357
929 DUFFERIN EXPRESS,731,617.0,9244.0,14.982171799027553,8.0,0.15685850281263522,0.6061228905235828,0.0,0.03115534400692341,0.2058632626568585
123 SHERWAY,407,392.0,9146.0,23.331632653061224,16.0,0.294445659304614,0.45790509512355126,0.0,0.03772140826590859,0.2099278373059261
131 NUGGET,441,400.0,9144.0,22.86,15.0,0.35465879265091865,0.5132327209098863,0.0,0.01990376202974628,0.11220472440944881
59 MAPLE LEAF,218,176.0,9094.0,51.67045454545455,30.0,0.16142511546074334,0.6544974708599076,0.0,0.020782933802507148,0.16329447987684187
42 CUMMER,321,298.0,8980.0,30.13422818791946,12.0,0.19465478841870823,0.7053452115812917,0.0,0.014587973273942094,0.08541202672605791
108 DRIFTWOOD,337,312.0,8876.0,28.44871794871795,20.0,0.2901081568273997,0.5664713835060838,0.0,0.01768814781433078,0.12573231185218567
112 WEST MALL,350,326.0,8841.0,27.119631901840492,22.0,0.2613957697093089,0.4582060852844701,0.0,0.04049315688270558,0.23990498812351543
26 DUPONT,226,201.0,8682.0,43.19402985074627,27.0,0.1621746141442064,0.6482377332411887,0.0,0.046072333563695,0.14351531905090992
927 HIGHWAY 27 EXPRESS,539,485.0,8665.0,17.8659793814433,10.0,0.3381419503750721,0.5307559145989613,0.0,0.028043854587420657,0.10305828043854587
21 BRIMLEY,358,309.0,8552.0,27.676375404530745,20.0,0.247310570626754,0.5341440598690365,0.0,0.025140318054256313,0.19340505144995324
45 KIPLING,435,401.0,8515.0,21.23441396508728,10.0,0.21197886083382267,0.5860246623605402,0.0,0.024427480916030534,0.1775689958896066
80 QUEENSWAY,274,251.0,8467.0,33.733067729083665,23.0,0.2518011101925121,0.5716310381481045,0.0,0.023739222865241525,0.15282862879414197
904 SHEPPARD-KENNEDY E,529,482.0,8322.0,17.265560165975103,15.0,0.4012256669069935,0.40146599375150205,0.0,0.034727229031482815,0.16258111031002162
903 KENNEDY SCARBOROUG,517,448.0,8256.0,18.428571428571427,10.0,0.30995639534883723,0.515140503875969,0.0,0.0342781007751938,0.140625
40 JUNCTION-DUNDAS WES,301,281.0,8206.0,29.202846975088967,24.0,0.28430416768218375,0.45308310991957107,0.0,0.054837923470631246,0.20777479892761394
