day_of_week,hour,total_delays,significant_delays,mean_delay_min,median_delay_min
Friday,0,227,199,21.979899497487438,18.0
Friday,1,153,102,27.215686274509803,15.0
Friday,2,133,87,44.13793103448276,20.0
Friday,3,89,66,33.25757575757576,30.0
Friday,4,152,90,36.1,20.5
Friday,5,427,359,29.910863509749305,14.0
Friday,6,467,432,22.99537037037037,12.0
Friday,7,500,463,21.466522678185743,10.0
Friday,8,419,375,34.42933333333333,12.0
Friday,9,445,393,25.755725190839694,12.0
Friday,10,476,429,25.289044289044288,13.0
Friday,11,405,369,20.84281842818428,12.0
Friday,12,428,378,20.232804232804234,12.0
Friday,13,535,472,23.309322033898304,12.0
Friday,14,664,567,20.81305114638448,12.0
Friday,15,671,567,18.94885361552028,12.0
Friday,16,684,543,21.337016574585636,12.0
Friday,17,654,587,21.195911413969334,13.0
Friday,18,539,496,18.39516129032258,12.0
Friday,19,431,371,25.0188679245283,12.0
Friday,20,390,341,21.73900293255132,15.0
Friday,21,328,287,29.418118466898953,15.0
Friday,22,287,257,29.373540856031127,20.0
Friday,23,303,261,24.701149425287355,20.0
Monday,0,164,146,21.363013698630137,16.0
Monday,1,110,73,20.397260273972602,15.0
Monday,2,104,63,43.38095238095238,22.0
Monday,3,90,48,20.541666666666668,17.5
Monday,4,121,77,29.792207792207794,20.0
Monday,5,437,373,22.5656836461126,14.0
Monday,6,489,435,25.229885057471265,12.0
Monday,7,464,443,19.191873589164786,11.0
Monday,8,431,389,31.511568123393317,11.0
Monday,9,445,384,21.075520833333332,12.5
Monday,10,420,385,24.97142857142857,14.0
Monday,11,419,381,22.64566929133858,12.0
Monday,12,387,353,19.26345609065156,12.0
Monday,13,502,467,24.3576017130621,12.0
Monday,14,540,499,20.414829659318638,12.0
Monday,15,588,513,23.943469785575047,12.0
Monday,16,514,436,19.81192660550459,12.0
Monday,17,542,491,23.43991853360489,12.0
Monday,18,538,505,22.22772277227723,12.0
Monday,19,332,302,24.59271523178808,12.0
Monday,20,328,296,20.04054054054054,15.0
Monday,21,261,229,23.624454148471617,15.0
Monday,22,243,195,21.205128205128204,18.0
Monday,23,182,161,23.96273291925466,16.0
Saturday,0,212,176,22.772727272727273,20.0
Saturday,1,142,106,22.30188679245283,16.0
Saturday,2,145,102,41.55882352941177,20.0
Saturday,3,121,83,24.542168674698797,20.0
Saturday,4,120,70,27.642857142857142,24.0
Saturday,5,203,147,36.183673469387756,20.0
Saturday,6,334,307,39.90553745928339,20.0
Saturday,7,244,230,32.88695652173913,15.0
Saturday,8,270,253,21.363636363636363,16.0
Saturday,9,301,286,23.486013986013987,14.0
Saturday,10,368,339,21.507374631268437,15.0
Saturday,11,347,312,26.977564102564102,15.0
Saturday,12,448,392,19.742346938775512,12.0
Saturday,13,493,445,21.55505617977528,12.0
Saturday,14,570,491,18.861507128309572,12.0
Saturday,15,482,407,23.643734643734643,12.0
Saturday,16,538,455,22.68791208791209,12.0
Saturday,17,516,471,16.10615711252654,12.0
Saturday,18,536,484,24.037190082644628,12.0
Saturday,19,409,375,18.549333333333333,14.0
Saturday,20,356,326,21.17484662576687,14.0
Saturday,21,356,304,30.00986842105263,16.0
Saturday,22,312,266,27.398496240601503,16.0
Saturday,23,249,203,28.177339901477833,20.0
Sunday,0,140,122,20.918032786885245,20.0
Sunday,1,118,79,22.303797468354432,20.0
Sunday,2,140,88,51.73863636363637,30.0
Sunday,3,98,68,29.485294117647058,30.0
Sunday,4,108,67,29.597014925373134,28.0
Sunday,5,143,83,27.903614457831324,19.0
Sunday,6,135,113,35.1858407079646,20.0
Sunday,7,240,216,27.314814814814813,20.0
Sunday,8,317,284,28.281690140845072,15.0
Sunday,9,320,289,16.453287197231834,11.0
Sunday,10,292,268,23.16044776119403,15.0
Sunday,11,285,255,29.890196078431373,15.0
Sunday,12,326,287,21.299651567944252,12.0
Sunday,13,355,310,20.05483870967742,13.5
Sunday,14,392,323,23.529411764705884,15.0
Sunday,15,403,355,22.971830985915492,12.0
Sunday,16,420,341,29.143695014662757,15.0
Sunday,17,415,367,23.86376021798365,15.0
Sunday,18,376,346,22.728323699421967,15.0
Sunday,19,320,276,22.304347826086957,15.0
Sunday,20,299,253,25.0,15.0
Sunday,21,278,245,29.33469387755102,16.0
Sunday,22,221,194,27.515463917525775,20.0
Sunday,23,236,207,26.28985507246377,20.0
Thursday,0,205,181,22.685082872928177,17.0
Thursday,1,145,101,31.217821782178216,20.0
Thursday,2,119,70,44.67142857142857,22.5
Thursday,3,105,74,26.824324324324323,20.0
Thursday,4,139,83,23.433734939759034,20.0
Thursday,5,448,387,23.294573643410853,13.0
Thursday,6,540,492,19.270325203252032,12.0
Thursday,7,471,423,32.24586288416076,10.0
Thursday,8,587,480,30.310416666666665,11.0
Thursday,9,590,485,33.1319587628866,12.0
Thursday,10,485,442,22.574660633484164,12.0
Thursday,11,522,468,24.623931623931625,12.0
Thursday,12,433,376,20.840425531914892,12.0
Thursday,13,534,471,20.475583864118896,15.0
Thursday,14,623,537,17.69459962756052,13.0
Thursday,15,697,566,18.367491166077738,12.0
Thursday,16,666,531,19.139359698681734,12.0
Thursday,17,603,512,17.703125,12.0
Thursday,18,596,524,19.68320610687023,12.0
Thursday,19,402,354,26.782485875706215,13.0
Thursday,20,331,291,26.144329896907216,15.0
Thursday,21,314,283,30.607773851590107,15.0
Thursday,22,232,194,27.556701030927837,18.0
Thursday,23,218,195,22.087179487179487,16.0
Tuesday,0,168,144,21.520833333333332,15.0
Tuesday,1,108,75,24.8,15.0
Tuesday,2,87,54,36.888888888888886,20.0
Tuesday,3,85,50,23.7,20.0
Tuesday,4,119,86,25.325581395348838,20.0
Tuesday,5,514,454,16.74229074889868,12.0
Tuesday,6,658,609,18.210180623973727,10.0
Tuesday,7,610,558,28.010752688172044,10.0
Tuesday,8,498,435,34.94022988505747,10.0
Tuesday,9,480,404,23.599009900990097,12.0
Tuesday,10,467,412,19.53640776699029,13.0
Tuesday,11,437,389,22.359897172236504,12.0
Tuesday,12,427,384,16.669270833333332,12.0
Tuesday,13,518,459,16.348583877995644,12.0
Tuesday,14,625,546,23.43223443223443,11.0
Tuesday,15,629,529,21.253308128544422,12.0
Tuesday,16,696,527,17.00569259962049,12.0
Tuesday,17,605,513,19.8635477582846,12.0
Tuesday,18,625,546,19.937728937728938,12.0
Tuesday,19,437,375,29.52,15.0
Tuesday,20,385,326,25.42331288343558,14.0
Tuesday,21,280,239,23.96652719665272,15.0
Tuesday,22,240,194,31.02061855670103,16.0
Tuesday,23,195,168,29.672619047619047,17.5
Wednesday,0,196,176,22.21590909090909,20.0
Wednesday,1,128,82,18.4390243902439,16.0
Wednesday,2,112,72,41.27777777777778,20.0
Wednesday,3,98,72,31.180555555555557,20.0
Wednesday,4,135,85,27.729411764705883,21.0
Wednesday,5,452,401,24.76558603491272,13.0
Wednesday,6,659,606,21.846534653465348,10.0
Wednesday,7,522,483,27.726708074534162,10.0
Wednesday,8,481,415,34.43132530120482,10.0
Wednesday,9,551,466,23.390557939914164,12.0
Wednesday,10,482,421,32.38242280285036,13.0
Wednesday,11,438,401,22.22942643391521,13.0
Wednesday,12,472,425,23.075294117647058,12.0
Wednesday,13,513,449,23.476614699331847,14.0
Wednesday,14,649,569,18.38664323374341,12.0
Wednesday,15,688,565,17.479646017699114,12.0
Wednesday,16,754,598,21.859531772575252,12.0
Wednesday,17,715,600,20.135,12.0
Wednesday,18,568,504,24.92063492063492,13.0
Wednesday,19,390,329,25.53191489361702,13.0
Wednesday,20,406,348,22.35919540229885,15.0
Wednesday,21,338,295,28.955932203389832,15.0
Wednesday,22,254,219,23.401826484018265,15.0
Wednesday,23,223,192,23.651041666666668,16.0
