route,rush_delays,rush_mean_delay,rush_total_min,offpeak_delays,offpeak_mean_delay,offpeak_total_min
29 DUFFERIN,233,34.15450643776824,7958,839,29.597139451728246,24832
52 LAWRENCE WEST,349,20.10028653295129,7015,1068,21.832397003745317,23317
102 MARKHAM ROAD,299,23.204013377926422,6938,821,20.48964677222899,16822
63 OSSINGTON,227,28.378854625550662,6442,661,19.80786686838124,13093
162 LAWRENCE-DONWAY,24,234.79166666666666,5635,71,85.59154929577464,6077
97 YONGE,121,46.56198347107438,5634,435,51.47816091954023,22393
32 EGLINTON WEST,402,12.50497512437811,5027,1064,16.19360902255639,17230
129 MCCOWAN NORTH,129,36.83720930232558,4752,384,28.28125,10860
160 BATHURST NORTH,54,85.9074074074074,4639,115,48.36521739130435,5562
96 WILSON,192,23.958333333333332,4600,640,21.25,13600
939 FINCH EXPRESS,272,15.878676470588236,4319,738,17.059620596205963,12590
38 HIGHLAND CREEK,187,22.566844919786096,4220,441,18.35374149659864,8094
64 MAIN,111,37.98198198198198,4216,350,34.65714285714286,12130
86 SCARBOROUGH,184,22.206521739130434,4086,605,22.0099173553719,13316
47 LANSDOWNE,199,20.391959798994975,4058,501,25.231536926147704,12641
88 SOUTH LEASIDE,80,50.5375,4043,121,53.86776859504132,6518
68 WARDEN,121,32.239669421487605,3901,356,26.957865168539325,9597
127 DAVENPORT,40,96.225,3849,81,44.53086419753087,3607
54 LAWRENCE EAST,240,15.695833333333333,3767,764,20.520942408376964,15678
43 KENNEDY,171,20.98830409356725,3589,519,19.263969171483623,9998
131 NUGGET,118,30.38135593220339,3585,282,19.71276595744681,5559
7 BATHURST,283,12.583038869257951,3561,710,14.616901408450705,10378
77 SWANSEA,33,107.60606060606061,3551,45,67.15555555555555,3022
84 SHEPPARD WEST,185,19.01081081081081,3517,431,16.5661252900232,7140
929 DUFFERIN EXPRESS,212,16.514150943396228,3501,405,14.180246913580246,5743
35 JANE,157,21.910828025477706,3440,622,18.027331189710612,11213
37 ISLINGTON,135,25.392592592592592,3428,462,24.348484848484848,11249
133 NEILSON,139,24.56115107913669,3414,414,20.446859903381643,8465
94 WELLESLEY,94,36.212765957446805,3404,349,34.191977077363894,11933
110 ISLINGTON SOUTH,107,30.91588785046729,3308,244,28.672131147540984,6996
85 SHEPPARD EAST,199,16.57286432160804,3298,673,17.365527488855868,11687
996 WILSON EXPRESS,218,14.885321100917432,3245,282,15.620567375886525,4405
39 FINCH EAST,133,23.8796992481203,3176,453,21.637969094922738,9802
73 ROYAL YORK,93,33.56989247311828,3122,240,29.816666666666666,7156
108 DRIFTWOOD,94,32.61702127659574,3066,218,26.65137614678899,5810
14 GLENCAIRN,60,51.0,3060,109,39.65137614678899,4322
121 ESPLANADE-RIVER,57,53.59649122807018,3055,167,41.203592814371255,6881
165 WESTON ROAD NORTH,268,11.33955223880597,3039,607,16.44151565074135,9980
82 ROSEDALE,15,202.53333333333333,3038,33,61.78787878787879,2039
161 ROGERS ROAD,77,38.922077922077925,2997,207,39.13526570048309,8101
134 PROGRESS,73,40.9041095890411,2986,181,37.22099447513812,6737
902 MARKHAM RD EXPRESS,127,23.37007874015748,2968,174,17.20689655172414,2994
71 RUNNYMEDE,68,43.10294117647059,2931,130,26.43846153846154,3437
11 BAYVIEW,88,33.14772727272727,2917,187,23.74331550802139,4440
13 AVENUE ROAD,38,76.3157894736842,2900,92,72.70652173913044,6689
57 MIDLAND,66,43.833333333333336,2893,200,20.17,4034
24 VICTORIA PARK,165,17.46060606060606,2881,535,18.018691588785046,9640
31 GREENWOOD,58,49.41379310344828,2866,147,20.489795918367346,3012
36 FINCH WEST,256,11.18359375,2863,762,10.353018372703412,7889
42 CUMMER,105,27.257142857142856,2862,193,31.699481865284973,6118
95 YORK MILLS,182,15.543956043956044,2829,698,14.202005730659026,9913
12 KINGSTON ROAD,109,25.568807339449542,2787,311,31.479099678456592,9790
80 QUEENSWAY,62,44.725806451612904,2773,189,30.126984126984127,5694
903 KENNEDY SCARBOROUG,137,19.817518248175183,2715,311,17.816720257234728,5541
59 MAPLE LEAF,52,51.26923076923077,2666,124,51.83870967741935,6428
53 STEELES EAST,181,14.3646408839779,2600,608,19.20230263157895,11675
116 MORNINGSIDE,201,12.507462686567164,2514,646,13.464396284829721,8698
34 EGLINTON EAST,163,14.963190184049079,2439,601,16.367720465890184,9837
927 HIGHWAY 27 EXPRESS,131,18.549618320610687,2430,354,17.612994350282484,6235
112 WEST MALL,86,28.151162790697676,2421,240,26.75,6420
62 MORTIMER,50,48.26,2413,123,25.552845528455286,3143
72 PAPE,158,15.189873417721518,2400,360,20.208333333333332,7275
19 BAY,39,56.43589743589744,2201,170,51.45882352941177,8748
75 SHERBOURNE,134,16.350746268656717,2191,321,33.781931464174455,10844
21 BRIMLEY,87,24.75862068965517,2154,222,28.81981981981982,6398
109 RANEE,39,55.17948717948718,2152,103,45.300970873786405,4666
989 WESTON EXPRESS,68,31.38235294117647,2134,103,23.310679611650485,2401
41 KEELE,138,14.789855072463768,2041,466,15.770386266094421,7349
89 WESTON,168,12.089285714285714,2031,420,13.757142857142858,5778
122 GRAYDON HALL,75,26.826666666666668,2012,161,19.757763975155278,3181
17 BIRCHMOUNT,84,23.321428571428573,1959,179,28.592178770949722,5118
26 DUPONT,55,35.236363636363635,1938,146,46.19178082191781,6744
45 KIPLING,114,16.94736842105263,1932,287,22.937282229965156,6583
123 SHERWAY,94,20.52127659574468,1929,298,24.21812080536913,7217
905 EGLINTON EAST EXPR,90,21.133333333333333,1902,199,24.44723618090452,4865
33 FOREST HILL,27,70.25925925925925,1897,58,74.24137931034483,4306
995 YORK MILLS EXPRESS,126,14.80952380952381,1866,237,12.649789029535865,2998
104 FAYWOOD,32,55.8125,1786,100,49.73,4973
117 BIRCHMOUNT SOUTH,9,198.44444444444446,1786,14,36.642857142857146,513
29C DUFFERIN,4,445.75,1783,1,351.0,351
25 DON MILLS,194,9.15979381443299,1777,556,11.214028776978417,6235
40 JUNCTION-DUNDAS WES,67,26.388059701492537,1768,214,30.08411214953271,6438
101 DOWNSVIEW PARK,28,62.42857142857143,1748,47,42.59574468085106,2002
904 SHEPPARD-KENNEDY E,105,16.228571428571428,1704,377,17.554376657824935,6618
168 SYMINGTON,78,21.58974358974359,1684,186,29.306451612903224,5451
130 MIDDLEFIELD,63,26.46031746031746,1667,145,31.43448275862069,4558
56 LEASIDE,42,39.69047619047619,1667,150,25.8,3870
87 COSBURN,26,63.42307692307692,1649,72,47.97222222222222,3454
44 KIPLING SOUTH,117,13.863247863247864,1622,290,13.96896551724138,4051
925 DON MILLS EXPRESS,116,13.939655172413794,1617,300,14.463333333333333,4339
952 LAWRENCE WEST EXPR,113,14.221238938053098,1607,67,11.328358208955224,759
8 BROADVIEW,40,39.45,1578,149,28.946308724832214,4313
924 VICTORIA PARK EXPR,99,15.666666666666666,1551,134,12.455223880597014,1669
960 STEELES WEST EXPRE,139,10.83453237410072,1506,388,13.337628865979381,5175
9 BELLAMY,60,25.0,1500,165,28.684848484848484,4733
98 WILLOWDALE-SENLAC,37,40.2972972972973,1491,101,24.544554455445546,2479
76 ROYAL YORK SOUTH,47,31.574468085106382,1484,194,21.391752577319586,4150
79 SCARLETT ROAD,75,19.6,1470,172,27.732558139534884,4770
169 HUNTINGWOOD,41,35.51219512195122,1456,132,32.0,4224
20 CLIFFSIDE,47,30.595744680851062,1438,171,29.36842105263158,5022
154 CURRAN HALL,38,36.89473684210526,1402,147,45.50340136054422,6689
968 WARDEN EXPRESS,55,25.21818181818182,1387,16,21.9375,351
953 STEELES EAST EXPRE,37,37.13513513513514,1374,19,16.57894736842105,315
69 WARDEN SOUTH,69,18.985507246376812,1310,209,27.669856459330145,5783
985 SHEPPARD EAST EXPR,85,15.4,1309,68,14.441176470588236,982
100 FLEMINGDON PARK,146,8.938356164383562,1305,385,11.462337662337662,4413
16 MCCOWAN,73,16.945205479452056,1237,239,16.456066945606693,3933
55 WARREN PARK,20,61.1,1222,46,66.8913043478261,3077
65 PARLIAMENT,71,17.070422535211268,1212,181,20.629834254143645,3734
61 AVENUE ROAD NORTH,30,40.36666666666667,1211,61,27.049180327868854,1650
935 JANE EXPRESS,82,14.74390243902439,1209,268,12.85820895522388,3446
984 SHEPPARD WEST EXPR,68,16.308823529411764,1109,80,18.2875,1463
113 DANFORTH,35,31.285714285714285,1095,139,25.388489208633093,3529
118 THISTLE DOWN,39,27.82051282051282,1085,105,45.266666666666666,4753
22 COXWELL,43,24.58139534883721,1057,146,20.0,2920
74 MOUNT PLEASANT,14,74.42857142857143,1042,44,50.75,2233
51 LESLIE,41,24.975609756097562,1024,161,36.06832298136646,5807
46 MARTIN GROVE,56,18.285714285714285,1024,167,24.706586826347305,4126
67 PHARMACY,73,13.821917808219178,1009,147,28.965986394557824,4258
91 WOODBINE,37,25.62162162162162,948,112,35.732142857142854,4002
986 SCARBOROUGH EXPRES,74,12.797297297297296,947,69,8.36231884057971,577
60 STEELES WEST,94,9.585106382978724,901,312,13.195512820512821,4117
945 KIPLING EXPRESS,74,12.135135135135135,898,95,15.221052631578948,1446
70 O'CONNOR,51,17.352941176470587,885,153,19.33986928104575,2959
941 KEELE EXPRESS,49,17.714285714285715,868,57,15.368421052631579,876
111 EAST MALL,67,12.746268656716419,854,142,15.154929577464788,2152
937 ISLINGTON EXPRESS,52,16.076923076923077,836,44,12.568181818181818,553
185 SHEPPARD CENTRAL,32,25.375,812,97,24.216494845360824,2349
120 CALVINGTON,30,26.5,795,61,35.75409836065574,2181
149 ETOBICOKE-BLOOR,30,26.333333333333332,790,89,24.764044943820224,2204
83 JONES,24,32.375,777,86,20.197674418604652,1737
954 LAWRENCE EAST EXPR,58,13.155172413793103,763,41,19.073170731707318,782
78 ST. ANDREWS,30,25.0,750,94,25.595744680851062,2406
938 HIGHLAND CREEK EXP,5,148.0,740,3,14.666666666666666,44
126 CHRISTIE,30,24.233333333333334,727,67,58.25373134328358,3903
107 YORK UNIVERSITY HE,28,25.678571428571427,719,92,79.1086956521739,7278
106 SENTINEL,35,20.228571428571428,708,113,29.557522123893804,3340
114 QUEENS QUAY EAST,63,10.904761904761905,687,165,19.060606060606062,3145
50 BURNHAMTHORPE,29,22.82758620689655,662,76,20.31578947368421,1544
119 TORBARRIE,23,27.956521739130434,643,60,39.03333333333333,2342
92 WOODBINE SOUTH,40,15.8,632,97,29.1340206185567,2826
66 PRINCE EDWARD,36,17.5,630,89,37.69662921348315,3355
900 AIRPORT EXPRESS,39,14.948717948717949,583,156,12.205128205128204,1904
15 EVANS,28,20.25,567,75,31.04,2328
167 PHARMACY NORTH,20,27.95,559,54,49.94444444444444,2697
162,1,557.0,557,0,0.0,0
