month,line,category,count,total_delay_min,pct_of_line_total
2025-01,BD,Equipment,17,214,12.46
2025-01,BD,Infrastructure,19,401,23.34
2025-01,BD,Operations,41,463,26.95
2025-01,BD,Safety/Security,48,479,27.88
2025-01,BD,Transportation,21,161,9.37
2025-01,SHP,Equipment,1,6,3.17
2025-01,SHP,Operations,7,61,32.28
2025-01,SHP,Safety/Security,6,113,59.79
2025-01,SHP,Transportation,1,9,4.76
2025-01,YU,Equipment,26,244,7.48
2025-01,YU,Infrastructure,66,934,28.64
2025-01,YU,Operations,73,699,21.44
2025-01,YU,Safety/Security,116,1239,37.99
2025-01,YU,Transportation,18,145,4.45
2025-02,BD,Equipment,25,185,9.21
2025-02,BD,Infrastructure,30,406,20.21
2025-02,BD,Operations,63,767,38.18
2025-02,BD,Safety/Security,39,427,21.25
2025-02,BD,Transportation,26,224,11.15
2025-02,SHP,Equipment,1,7,3.91
2025-02,SHP,Infrastructure,6,41,22.91
2025-02,SHP,Operations,2,94,52.51
2025-02,SHP,Safety/Security,3,37,20.67
2025-02,YU,Equipment,14,105,2.08
2025-02,YU,Infrastructure,73,1071,21.21
2025-02,YU,Operations,76,2677,53.01
2025-02,YU,Safety/Security,90,1083,21.45
2025-02,YU,Transportation,14,114,2.26
2025-03,BD,Equipment,28,209,8.44
2025-03,BD,Infrastructure,42,561,22.67
2025-03,BD,Operations,67,825,33.33
2025-03,BD,Safety/Security,51,623,25.17
2025-03,BD,Transportation,21,257,10.38
2025-03,SHP,Infrastructure,6,50,52.08
2025-03,SHP,Safety/Security,4,35,36.46
2025-03,SHP,Transportation,1,11,11.46
2025-03,YU,Equipment,16,147,5.71
2025-03,YU,Infrastructure,61,509,19.77
2025-03,YU,Operations,84,1063,41.28
2025-03,YU,Safety/Security,70,757,29.4
2025-03,YU,Transportation,10,99,3.84
2025-04,BD,Equipment,23,287,14.37
2025-04,BD,Infrastructure,25,497,24.89
2025-04,BD,Operations,54,673,33.7
2025-04,BD,Safety/Security,40,423,21.18
2025-04,BD,Transportation,17,117,5.86
2025-04,SHP,Equipment,1,6,2.64
2025-04,SHP,Infrastructure,7,139,61.23
2025-04,SHP,Operations,2,22,9.69
2025-04,SHP,Safety/Security,2,23,10.13
2025-04,SHP,Transportation,6,37,16.3
2025-04,YU,Equipment,22,229,8.51
2025-04,YU,Infrastructure,56,604,22.44
2025-04,YU,Operations,78,866,32.17
2025-04,YU,Safety/Security,63,676,25.11
2025-04,YU,Transportation,23,317,11.78
2025-05,BD,Equipment,13,95,6.14
2025-05,BD,Infrastructure,27,587,37.97
2025-05,BD,Operations,39,335,21.67
2025-05,BD,Safety/Security,42,414,26.78
2025-05,BD,Transportation,15,115,7.44
2025-05,SHP,Equipment,1,5,2.42
2025-05,SHP,Infrastructure,9,104,50.24
2025-05,SHP,Operations,8,50,24.15
2025-05,SHP,Safety/Security,2,18,8.7
2025-05,SHP,Transportation,5,30,14.49
2025-05,YU,Equipment,16,170,6.72
2025-05,YU,Infrastructure,59,638,25.22
2025-05,YU,Operations,81,818,32.33
2025-05,YU,Safety/Security,70,822,32.49
2025-05,YU,Transportation,13,82,3.24
2025-06,BD,Equipment,18,131,9.07
2025-06,BD,Infrastructure,15,244,16.89
2025-06,BD,Operations,49,496,34.33
2025-06,BD,Safety/Security,47,473,32.73
2025-06,BD,Transportation,15,101,6.99
2025-06,SHP,Equipment,1,8,3.36
2025-06,SHP,Infrastructure,4,99,41.6
2025-06,SHP,Operations,3,20,8.4
2025-06,SHP,Safety/Security,6,53,22.27
2025-06,SHP,Transportation,11,58,24.37
2025-06,YU,Equipment,12,107,4.21
2025-06,YU,Infrastructure,67,681,26.77
2025-06,YU,Operations,80,722,28.38
2025-06,YU,Safety/Security,52,779,30.62
2025-06,YU,Transportation,26,255,10.02
2025-07,BD,Equipment,16,106,5.31
2025-07,BD,Infrastructure,15,235,11.77
2025-07,BD,Operations,58,755,37.81
2025-07,BD,Safety/Security,51,752,37.66
2025-07,BD,Transportation,16,149,7.46
2025-07,SHP,Equipment,2,12,3.72
2025-07,SHP,Infrastructure,4,244,75.54
2025-07,SHP,Operations,2,17,5.26
2025-07,SHP,Transportation,6,50,15.48
2025-07,YU,Equipment,17,217,9.96
2025-07,YU,Infrastructure,48,640,29.37
2025-07,YU,Operations,62,542,24.87
2025-07,YU,Safety/Security,62,668,30.66
2025-07,YU,Transportation,15,112,5.14
2025-08,BD,Equipment,9,61,5.06
2025-08,BD,Infrastructure,9,220,18.24
2025-08,BD,Operations,49,426,35.32
2025-08,BD,Safety/Security,38,404,33.5
2025-08,BD,Transportation,15,95,7.88
2025-08,SHP,Equipment,4,32,11.99
2025-08,SHP,Infrastructure,4,23,8.61
2025-08,SHP,Operations,6,48,17.98
2025-08,SHP,Safety/Security,5,41,15.36
2025-08,SHP,Transportation,14,123,46.07
2025-08,YU,Equipment,22,246,10.12
2025-08,YU,Infrastructure,54,653,26.85
2025-08,YU,Operations,84,857,35.24
2025-08,YU,Safety/Security,53,558,22.94
2025-08,YU,Transportation,18,118,4.85
2025-09,BD,Equipment,11,205,15.23
2025-09,BD,Infrastructure,16,168,12.48
2025-09,BD,Operations,40,462,34.32
2025-09,BD,Safety/Security,42,414,30.76
2025-09,BD,Transportation,15,97,7.21
2025-09,SHP,Infrastructure,3,172,70.78
2025-09,SHP,Operations,6,41,16.87
2025-09,SHP,Safety/Security,1,6,2.47
2025-09,SHP,Transportation,2,24,9.88
2025-09,YU,Equipment,14,142,9.26
2025-09,YU,Infrastructure,39,354,23.09
2025-09,YU,Operations,52,457,29.81
2025-09,YU,Safety/Security,45,447,29.16
2025-09,YU,Transportation,19,133,8.68
2025-10,BD,Equipment,12,120,7.48
2025-10,BD,Infrastructure,12,138,8.6
2025-10,BD,Operations,54,446,27.81
2025-10,BD,Safety/Security,56,735,45.82
2025-10,BD,Transportation,18,165,10.29
2025-10,SHP,Equipment,2,16,6.11
2025-10,SHP,Infrastructure,7,122,46.56
2025-10,SHP,Operations,5,32,12.21
2025-10,SHP,Safety/Security,3,62,23.66
2025-10,SHP,Transportation,2,30,11.45
2025-10,YU,Equipment,9,95,4.39
2025-10,YU,Infrastructure,44,488,22.57
2025-10,YU,Operations,73,703,32.52
2025-10,YU,Safety/Security,59,726,33.58
2025-10,YU,Transportation,20,150,6.94
2025-11,BD,Equipment,14,95,5.86
2025-11,BD,Infrastructure,23,275,16.96
2025-11,BD,Operations,52,625,38.56
2025-11,BD,Safety/Security,46,510,31.46
2025-11,BD,Transportation,18,116,7.16
2025-11,SHP,Equipment,3,27,7.71
2025-11,SHP,Infrastructure,10,211,60.29
2025-11,SHP,Operations,4,24,6.86
2025-11,SHP,Safety/Security,4,57,16.29
2025-11,SHP,Transportation,5,31,8.86
2025-11,YU,Equipment,14,98,3.51
2025-11,YU,Infrastructure,57,1021,36.58
2025-11,YU,Operations,71,711,25.47
2025-11,YU,Safety/Security,78,851,30.49
2025-11,YU,Transportation,16,110,3.94
2025-12,BD,Equipment,25,286,12.66
2025-12,BD,Infrastructure,34,594,26.29
2025-12,BD,Operations,53,624,27.62
2025-12,BD,Safety/Security,52,540,23.9
2025-12,BD,Transportation,25,215,9.52
2025-12,SHP,Infrastructure,1,6,6.45
2025-12,SHP,Operations,5,35,37.63
2025-12,SHP,Safety/Security,1,10,10.75
2025-12,SHP,Transportation,6,42,45.16
2025-12,YU,Equipment,25,185,6.57
2025-12,YU,Infrastructure,57,437,15.51
2025-12,YU,Operations,74,1125,39.94
2025-12,YU,Safety/Security,90,973,34.54
