code,description,category,line_scope,count_all,count_significant,mean_delay_min,median_delay_min,total_delay_min,p95_delay_min
SUDP,Disorderly Patron,Safety/Security,YU,2944,651,9.086021505376344,7.0,7646,21.0
MUIR,Injured or ill Customer (On Train) - Medical Aid Refused,Operations,YU,841,408,9.713235294117647,8.0,4797,18.649999999999977
SUUT,Unauthorized at Track Level,Safety/Security,YU,571,246,14.995934959349594,12.0,3917,31.5
MUI,Injured or ill Customer (On Train) - Transported,Operations,YU,412,263,13.49809885931559,10.0,3785,33.799999999999955
SUO,Passenger Other,Safety/Security,YU,1669,239,12.192468619246862,9.0,3418,26.099999999999994
PUOPO,OPTO (COMMS) Train Door Monitoring,Infrastructure,YU,1258,278,7.953237410071942,6.0,3406,16.149999999999977
MUPAA,Passenger Assistance Alarm Activated - No Trouble Found,Operations,YU,1366,198,5.954545454545454,5.0,2952,9.149999999999977
MUWEA,Weather Reports / Related Delays,Operations,YU,211,45,52.75555555555555,7.0,2745,211.39999999999935
PUTWZ,Work Zone Problems - Track,Infrastructure,YU,244,158,13.879746835443038,8.0,2333,41.80000000000007
TUO,Transportation Department - Other,Transportation,YU,451,178,7.803370786516854,6.0,1955,15.0
SUAP,Assault / Patron Involved,Safety/Security,YU,673,128,13.0078125,10.5,1759,26.0
MUSAN,Unsanitary Vehicle,Operations,YU,418,162,5.888888888888889,5.0,1740,8.0
MUPR1,Priority One - Train in Contact With Person,Operations,YU,21,20,84.3,94.0,1690,150.65
MUPLB,Fire/Smoke Plan B - Source TTC,Operations,YU,46,39,37.15384615384615,30.0,1453,87.30000000000001
PUSSW,Track Switch Failure - Signal Related Problem,Infrastructure,YU,60,42,32.095238095238095,20.0,1383,86.39999999999995
MUO,Miscellaneous Other,Operations,YU,568,103,9.427184466019417,6.0,1311,21.89999999999999
PUTR,Rail Related Problem,Infrastructure,YU,187,127,8.48031496062992,7.0,1267,16.0
MUDD,Door Problems - Debris Related,Operations,YU,202,104,8.346153846153847,7.0,1097,15.849999999999994
PUTO,T&S Other,Infrastructure,YU,135,81,12.098765432098766,7.0,1092,37.0
EUDO,Door Problems - Faulty Equipment,Equipment,YU,189,87,8.839080459770114,7.0,994,15.0
EUNT,Equipment - No Trouble Found,Equipment,YU,157,89,7.696629213483146,6.0,861,15.199999999999989
PUTTP,Traction Power Rail Related,Infrastructure,YU,6,5,162.6,138.0,813,328.4
TUMVS,Operator Violated Signal,Transportation,YU,217,58,9.689655172413794,7.0,811,31.449999999999996
SUEAS,Emergency Alarm Station Activation,Safety/Security,YU,57,56,13.428571428571429,12.0,752,25.0
MUTO,Misc. Transportation Other - Employee Non-Chargeable,Operations,YU,160,57,7.140350877192983,6.0,717,16.39999999999999
TUCC,Transit Control Related Problems,Transportation,YU,83,47,13.063829787234043,9.0,713,34.09999999999999
PUTS,Structure Related Problem,Infrastructure,YU,13,2,264.0,264.0,558,458.4
TUNIP,Operator Not In Position,Transportation,YU,118,44,6.818181818181818,6.0,537,14.250000000000007
PUSI,Signals or Related Components Failure,Infrastructure,YU,108,24,19.458333333333332,7.0,526,109.64999999999985
PUSTS,Signals - Train Stops,Infrastructure,YU,100,26,15.615384615384615,7.0,502,40.75
SUPOL,Held By Polce - Non-TTC Related,Safety/Security,YU,79,35,12.685714285714285,11.0,493,28.399999999999977
MUD,Door Problems - Passenger Related,Operations,YU,128,41,6.634146341463414,6.0,491,10.0
EUBK,Brakes,Equipment,YU,75,29,13.620689655172415,8.0,486,39.79999999999998
EUVE,Work Vehicle,Equipment,YU,66,32,12.59375,7.5,469,35.349999999999994
SUAE,Assault / Employee Involved,Safety/Security,YU,236,30,14.066666666666666,8.5,443,34.29999999999998
PUSAC,Signals Axle Counter Block Failure,Infrastructure,YU,92,40,8.85,6.5,435,22.19999999999999
MUSC,Miscellaneous Speed Control,Operations,YU,881,28,6.035714285714286,5.0,384,9.0
EUO,RC&S Other,Equipment,YU,59,42,7.857142857142857,6.0,378,11.949999999999996
TUS,Crew Unable to Maintain Schedule,Transportation,YU,76,38,6.473684210526316,6.0,378,10.299999999999997
SUG,Graffiti / Scratchiti,Safety/Security,YU,251,35,6.114285714285714,5.0,374,7.0
PUTDN,Debris At Track Level - Uncontrollable,Infrastructure,YU,33,20,14.65,8.0,324,44.70000000000001
EUSC,Speed Control Equipment,Equipment,YU,490,16,10.125,6.0,314,27.0
EUPI,Propulsion System,Equipment,YU,54,14,13.142857142857142,6.0,298,43.14999999999998
TUSC,Operator Overspeeding,Transportation,YU,557,22,5.818181818181818,5.0,295,8.0
PUMO,Station Other,Infrastructure,YU,216,9,29.77777777777778,15.0,291,103.19999999999996
TUOS,Operator Overshot Platform,Transportation,YU,79,22,6.181818181818182,6.0,280,8.0
PUSTP,Traction Power or Related Components Failure,Infrastructure,YU,9,7,38.714285714285715,12.0,279,137.7999999999999
PUTSM,Track Switch Failure - Track Related Problem,Infrastructure,YU,38,5,35.8,42.0,274,60.0
PUSRA,Subway Radio System Fault,Infrastructure,YU,59,27,6.7407407407407405,6.0,269,9.7
EUCD,Consequential Delay (2nd Delay Same Fault),Equipment,YU,51,16,9.875,7.5,254,18.25
PUTIS,Ice / Snow Related Problems,Infrastructure,YU,37,20,10.7,6.0,239,23.000000000000014
PUCSC,Signal Control Problem - Signals,Infrastructure,YU,14,8,28.375,14.0,234,85.94999999999997
