line,day_of_week,hour,total_delays,significant_delays,mean_delay_min,median_delay_min,total_delay_min
YU,Monday,0,51,14,3.57,0.0,182
YU,Monday,1,66,15,3.29,0.0,217
YU,Monday,2,51,1,0.1,0.0,5
YU,Monday,3,19,0,0.0,0.0,0
YU,Monday,4,15,0,0.0,0.0,0
YU,Monday,5,109,33,4.02,0.0,438
YU,Monday,6,128,47,4.16,4.0,532
YU,Monday,7,81,13,2.47,0.0,200
YU,Monday,8,118,27,2.79,0.0,329
YU,Monday,9,80,9,1.85,0.0,148
YU,Monday,10,64,12,2.81,0.0,180
YU,Monday,11,74,15,2.51,0.0,186
YU,Monday,12,97,23,2.58,0.0,250
YU,Monday,13,86,16,2.9,0.0,249
YU,Monday,14,106,19,3.36,0.0,356
YU,Monday,15,82,12,2.32,0.0,190
YU,Monday,16,105,14,2.05,0.0,215
YU,Monday,17,123,24,3.11,0.0,383
YU,Monday,18,106,17,2.2,0.0,233
YU,Monday,19,75,15,3.07,0.0,230
YU,Monday,20,81,16,3.21,0.0,260
YU,Monday,21,66,12,2.59,0.0,171
YU,Monday,22,79,18,2.57,0.0,203
YU,Monday,23,106,17,2.66,0.0,282
YU,Tuesday,0,63,17,2.46,0.0,155
YU,Tuesday,1,64,11,2.09,0.0,134
YU,Tuesday,2,40,3,1.75,0.0,70
YU,Tuesday,3,11,1,1.0,0.0,11
YU,Tuesday,4,12,0,0.0,0.0,0
YU,Tuesday,5,104,38,6.07,3.0,631
YU,Tuesday,6,112,39,4.36,3.0,488
YU,Tuesday,7,71,16,3.37,3.0,239
YU,Tuesday,8,106,19,3.1,0.0,329
YU,Tuesday,9,89,19,3.04,0.0,271
YU,Tuesday,10,75,18,3.17,0.0,238
YU,Tuesday,11,67,10,1.97,0.0,132
YU,Tuesday,12,93,16,2.56,0.0,238
YU,Tuesday,13,79,18,2.76,0.0,218
YU,Tuesday,14,70,11,2.69,0.0,188
YU,Tuesday,15,85,14,2.47,0.0,210
YU,Tuesday,16,119,25,2.57,3.0,306
YU,Tuesday,17,146,32,2.73,3.0,398
YU,Tuesday,18,109,16,1.97,0.0,215
YU,Tuesday,19,78,18,2.62,0.0,204
YU,Tuesday,20,98,32,4.13,1.5,405
YU,Tuesday,21,76,21,2.37,0.0,180
YU,Tuesday,22,89,23,2.84,0.0,253
YU,Tuesday,23,111,24,1.95,0.0,217
YU,Wednesday,0,77,17,2.45,0.0,189
YU,Wednesday,1,82,11,1.46,0.0,120
YU,Wednesday,2,46,3,0.54,0.0,25
YU,Wednesday,3,12,1,0.83,0.0,10
YU,Wednesday,4,11,1,32.73,0.0,360
YU,Wednesday,5,79,28,3.99,0.0,315
YU,Wednesday,6,107,37,5.21,3.0,558
YU,Wednesday,7,83,14,2.65,3.0,220
YU,Wednesday,8,119,24,2.39,0.0,285
YU,Wednesday,9,76,13,4.97,0.0,378
YU,Wednesday,10,59,16,3.19,0.0,188
YU,Wednesday,11,93,25,2.51,0.0,233
YU,Wednesday,12,68,15,3.13,0.0,213
YU,Wednesday,13,108,27,3.31,0.0,357
YU,Wednesday,14,96,20,3.12,0.0,300
YU,Wednesday,15,103,19,2.26,0.0,233
