station,line,category,count,total_delay_min,mean_delay_min
- WARDEN STAT,BD,Transportation,1,3,3.0
APPRAOCHING KENNEDY,BD,Infrastructure,1,10,10.0
BATHURST STATION,BD,Equipment,7,39,5.6
BATHURST STATION,BD,Infrastructure,1,4,4.0
BATHURST STATION,BD,Operations,26,158,6.1
BATHURST STATION,BD,Safety,31,241,7.8
BATHURST STATION,BD,Transportation,4,19,4.8
BAY STATION,BD,Equipment,8,48,6.0
BAY STATION,BD,Infrastructure,2,11,5.5
BAY STATION,BD,Operations,27,290,10.7
BAY STATION,BD,Safety,31,219,7.1
BAY STATION,BD,Transportation,5,21,4.2
BAYVIEW,SHP,Infrastructure,1,7,7.0
BAYVIEW STATION,SHP,Equipment,1,6,6.0
BAYVIEW STATION,SHP,Infrastructure,19,109,5.7
BAYVIEW STATION,SHP,Operations,10,40,4.0
BAYVIEW STATION,SHP,Safety,5,36,7.2
BAYVIEW STATION,SHP,Transportation,6,33,5.5
BAYVIEW STATION - DEPA,SHP,Transportation,1,3,3.0
BESSARION STATION,SHP,Equipment,1,12,12.0
BESSARION STATION,SHP,Infrastructure,4,25,6.2
BESSARION STATION,SHP,Operations,7,55,7.9
BESSARION STATION,SHP,Safety,1,5,5.0
BESSARION STATION,SHP,Transportation,11,88,8.0
BLOOR STATION,YU,Equipment,5,43,8.6
BLOOR STATION,YU,Infrastructure,33,276,8.4
BLOOR STATION,YU,Operations,118,676,5.7
BLOOR STATION,YU,Safety,113,665,5.9
BLOOR STATION,YU,Transportation,18,93,5.2
BLOOR STATION TO ROSED,YU,Safety,1,30,30.0
BLOOR TO ROSEDALE STAT,YU,Safety,1,28,28.0
BROADVIEW STATION,BD,Equipment,11,97,8.8
BROADVIEW STATION,BD,Infrastructure,7,91,13.0
BROADVIEW STATION,BD,Operations,32,368,11.5
BROADVIEW STATION,BD,Safety,33,341,10.3
BROADVIEW STATION,BD,Transportation,19,108,5.7
CASTLE FRANK STATION,BD,Equipment,8,41,5.1
