station,line,total_delays,significant_delays,total_delay_min,mean_delay_min,median_delay_min,pct_infrastructure,pct_operations,pct_safety,pct_equipment,pct_transportation
EGLINTON STATION,YU,274,172,2822,10.3,5.0,20.30474840538625,53.43727852586818,14.528703047484054,6.697377746279234,5.031892274982282
SHEPPARD WEST STATION,YU,137,92,2221,16.2,6.0,5.853219270598829,62.89959477712742,22.467357046375508,6.033318325078793,2.746510580819451
WILSON STATION,YU,367,135,2192,6.0,4.0,41.012773722627735,28.467153284671532,12.545620437956204,10.218978102189782,7.755474452554745
KIPLING STATION,BD,325,125,2138,6.6,4.0,25.491113189897103,26.894293732460245,17.96071094480823,6.969130028063611,22.684752104770816
KENNEDY STATION,BD,311,116,2067,6.6,4.0,31.15626511852927,21.190130624092888,23.270440251572328,11.27237542331882,13.110788582486697
LAWRENCE STATION,YU,167,105,1810,10.8,6.0,23.977900552486187,35.74585635359116,32.65193370165746,3.4806629834254146,4.143646408839778
BLOOR STATION,YU,287,135,1753,6.1,4.0,15.744438106103823,38.562464346834,37.93496862521392,2.452937820878494,5.305191100969766
WARDEN STATION,BD,203,116,1643,8.1,5.0,24.893487522824103,34.44917833231893,20.26780279975654,6.20815581253804,14.181375532562384
DAVISVILLE STATION,YU,220,129,1638,7.4,5.0,30.83028083028083,29.914529914529915,21.672771672771674,9.89010989010989,7.6923076923076925
FINCH STATION,YU,272,117,1626,6.0,4.0,16.728167281672818,26.752767527675275,23.677736777367777,19.06519065190652,13.776137761377614
YONGE STATION,BD,174,90,1287,7.4,5.0,14.918414918414918,28.12742812742813,39.86013986013986,11.421911421911423,5.672105672105672
YORK MILLS STATION,YU,139,98,1275,9.2,6.0,27.137254901960784,14.274509803921568,35.84313725490196,12.313725490196079,10.431372549019608
GREENWOOD STATION,BD,169,91,1265,7.5,5.0,22.213438735177863,33.99209486166008,7.82608695652174,18.893280632411066,17.07509881422925
ROSEDALE STATION,YU,119,82,1242,10.4,6.0,15.056360708534623,39.049919484702095,39.130434782608695,4.750402576489534,2.0128824476650564
ST CLAIR STATION,YU,170,102,1242,7.3,5.0,15.056360708534623,48.470209339774556,29.629629629629626,3.140096618357488,3.7037037037037033
YORKDALE STATION,YU,98,59,1216,12.4,5.0,62.41776315789473,9.62171052631579,22.532894736842106,3.618421052631579,1.8092105263157896
SHEPPARD-YONGE STATION,SHP,121,78,1197,9.9,5.0,31.244778613199664,21.219715956558062,23.22472848788638,7.685881370091896,16.62489557226399
VICTORIA PARK STATION,BD,146,80,1193,8.2,5.0,17.77032690695725,44.090528080469404,17.351215423302598,13.076278290025147,7.711651299245599
KING STATION,YU,139,103,1168,8.4,6.0,46.66095890410959,30.136986301369863,21.06164383561644,1.6267123287671232,0.5136986301369862
ISLINGTON STATION,BD,127,57,1152,9.1,4.0,27.69097222222222,38.36805555555556,18.836805555555554,3.5590277777777777,11.54513888888889
COLLEGE STATION,YU,152,98,1135,7.5,5.0,9.515418502202644,41.85022026431718,39.38325991189428,4.317180616740088,4.933920704845815
UNION STATION,YU,144,86,1086,7.5,5.0,28.45303867403315,27.532228360957646,23.756906077348066,10.589318600368323,9.668508287292818
ST GEORGE STATION,YU,159,87,1085,6.8,5.0,19.907834101382488,25.52995391705069,34.285714285714285,7.1889400921658995,13.087557603686637
DON MILLS STATION,SHP,107,73,1034,9.7,5.0,58.6073500967118,14.796905222437138,13.152804642166343,1.83752417794971,11.60541586073501
COXWELL STATION,BD,160,77,1022,6.4,4.0,4.6966731898238745,40.21526418786693,16.53620352250489,17.71037181996086,20.84148727984344
BROADVIEW STATION,BD,102,65,1005,9.9,6.0,9.054726368159203,36.61691542288557,33.930348258706466,9.65174129353234,10.746268656716417
ST CLAIR WEST STATION,YU,132,74,994,7.5,5.0,19.718309859154928,30.58350100603622,34.90945674044266,1.9114688128772637,12.877263581488934
ST GEORGE STATION,BD,137,72,981,7.2,5.0,18.04281345565749,37.308868501529055,29.45973496432212,10.499490316004078,4.689092762487258
KEELE STATION,BD,144,70,974,6.8,4.0,37.16632443531827,26.796714579055443,21.66324435318275,5.95482546201232,8.41889117043121
DONLANDS STATION,BD,162,60,953,5.9,4.0,17.628541448058762,29.275970619097585,15.320041972717732,24.868835257082896,12.906610703043023
VAUGHAN MC STATION,YU,160,72,928,5.8,4.0,20.58189655172414,31.573275862068968,21.443965517241377,13.577586206896552,12.823275862068966
DUNDAS STATION,YU,127,77,890,7.0,5.0,6.179775280898876,45.056179775280896,34.157303370786515,9.438202247191011,5.168539325842696
WELLESLEY STATION,YU,132,64,875,6.6,4.0,13.028571428571428,56.8,27.65714285714286,0.34285714285714286,2.1714285714285713
SHEPPARD STATION,YU,121,59,837,6.9,4.0,35.722819593787335,20.908004778972522,30.34647550776583,5.734767025089606,7.287933094384708
LAWRENCE WEST STATION,YU,96,66,830,8.6,6.0,16.3855421686747,38.55421686746988,33.734939759036145,5.421686746987952,5.903614457831325
